atualaartarpit	atuar-LAAR=TAR<Interrogativ<du
atuartunnguamukalaartartorlu	atuar+TUQ-NNGUAQ<ental<Terminalis-KAR-LAAR=TAR<Participium<han+LU
Avanersuaq	Avanersuaq<Absolut
Avanersuarli	Avanersuaq<Absolut+LI
Avanersuarlu	Avanersuaq<Absolut+LU
Avanersuaruna	Avanersuaq<Absolut+UNA
Avanersuarmik	Avanersuaq<Instrumentalis
Avanersuarmilli	Avanersuaq<Instrumentalis+LI
Avanersuarminguna	Avanersuaq<Instrumentalis+UNA
Avanersuarmi	Avanersuaq<Lokalis
Avanersuarmiippit	Avanersuaq<Lokalis+IP<Interrogativ<du
Avanersuarmiilerneq	Avanersuaq<Lokalis+IP-LIR+NIQ
Avanersuarmili	Avanersuaq<Lokalis+LI
Avanersuarmiumi	Avanersuaq+MIU<ental<Lokalis
Avanersuarmiumili	Avanersuaq+MIU<ental<Lokalis+LI
Avanersuarmiumukalaarlutik	Avanersuaq+MIU<ental<Terminalis-KAR-LAAR<Ledsagemåde<de_selv
Avanersuarmiumulli	Avanersuaq+MIU<ental<Terminalis+LI
Avanersuarmiuni	Avanersuaq+MIU<flertal<Lokalis
Avanersuarmiunilu	Avanersuaq+MIU<flertal<Lokalis+LU
Avanersuarmiuleriniarnatik	Avanersuaq+MIU-LIRI+NIAR=NNGIT<Ledsagemåde<de_selv
Avanersuarmiulerisunga	Avanersuaq+MIU-LIRI<Participium<jeg
Avanersuarmiunngussagaluarnikka	Avanersuaq+MIU-NNGUR-SSA=GALUAR+NIQ<flertal<min<Absolut
Avanersuarmioqarpoq	Avanersuaq+MIU-QAR<Indikativ<han
Avanersuarmioqarporlu	Avanersuaq+MIU-QAR<Indikativ<han+LU
Avanersuarmioqarneq	Avanersuaq+MIU-QAR+NIQ<ental<Absolut
Avanersuarmioqarnerli	Avanersuaq+MIU-QAR+NIQ<ental<Absolut+LI
Avanersuarmioqarnerlu	Avanersuaq+MIU-QAR+NIQ<ental<Absolut+LU
Avanersuarmioqarneruna	Avanersuaq+MIU-QAR+NIQ<ental<Absolut+UNA
Avanersuarmioqartoq	Avanersuaq+MIU-QAR<Participium<han
Avanersuarmioqartorli	Avanersuaq+MIU-QAR<Participium<han+LI
Avanersuarmiuulaarpit	Avanersuaq+MIU-U-LAAR<Interrogativ<du
Avanersuarmiuuniartoq	Avanersuaq+MIU-U+NIAR<Participium<han
Avanersuarmiuusimasarnikka	Avanersuaq+MIU-U+SIMA=TAR+NIQ<flertal<min<Absolut
Avanersuarmiuusimasoqalaartarnikka	Avanersuaq+MIU-U+SIMA+TUQ-QAR-LAAR=TAR+NIQ<flertal<min<Absolut
Avanersuarmiuusinnaasoq	Avanersuaq+MIU-U+SINNAA+TUQ<ental<Absolut
Avanersuarmiuussagaluarpungali	Avanersuaq+MIU-U-SSA=GALUAR<Indikativ<jeg+LI
Avanersuarmiuusartullu	Avanersuaq+MIU-U+TAR<Participium<de+LU
Avanersuarmiuusartui	Avanersuaq+MIU-U+TAR+TUQ<flertal<hans<Absolut
Avanersuarmut	Avanersuaq<Terminalis
Avanersuarmukalaarporli	Avanersuaq<Terminalis-KAR-LAAR<Indikativ<han+LI
Avanersuarmukalaartartoqanngilaq	Avanersuaq<Terminalis-KAR-LAAR=TAR+TUQ-QAR-NNGIT<Indikativ<han
Avanersuarmukalaartartoqanngilarli	Avanersuaq<Terminalis-KAR-LAAR=TAR+TUQ-QAR-NNGIT<Indikativ<han+LI
Avanersuarmukalerpunga	Avanersuaq<Terminalis-KAR-LIR<Indikativ<jeg
Avanersuarmukalerpit	Avanersuaq<Terminalis-KAR-LIR<Interrogativ<du
Avanersuarmukanngitsoq	Avanersuaq<Terminalis-KAR-NNGIT+TUQ<ental<Absolut
