assersuutimali	assersuut<ental<min>Relativ+LI
assersuummukalaartarpugulli	assersuut<ental<Terminalis-KAR-LAAR=TAR<Indikativ<vi+LI
assersuummukareerlutik	assersuut<ental<Terminalis-KAR-RIIR<Ledsagemåde<de_selv
assersuummulli	assersuut<ental<Terminalis+LI
assersuummullu	assersuut<ental<Terminalis+LU
assersuummununa	assersuut<ental<Terminalis+UNA
assersuutigisimasarpiuk	assersuut+GӘ+SIMA=TAR<Interrogativ<du-dem
assersuutigivallaarluginuna	assersuut+GӘ+VALLAAR<Ledsagemåde<dem+UNA
assersuutilikka	assersuut-LIK<flertal<min<Absolut
assersuuteqariartungaana	assersuut-QAR-RIAR<Participium<jeg+UNA
ataasiinnanngoramalu	ataaseq-INNAQ-NNGUR<Causativ<jeg+LU
ataasinngunngitsorli	ataaseq-NNGUR-NNGIT<Participium<han+LI
ataatsitulli	ataaseq<Talord<ental<Aequalis+LI
ataatsimillu	ataaseq<Talord<Instrumentalis+LU
ataatsimeeqqaarneq	ataaseq<Talord<Lokalis+IP-QQAAR+NIQ
ataatsimut	ataaseq<Talord<Terminalis
ataatsimukalaartartoruna	ataaseq<Talord<Terminalis-KAR-LAAR=TAR+TUQ+UNA
ataatsimukassagaluartununa	ataaseq<Talord<Terminalis-KAR-SSA=GALUAR<Participium<de+UNA
ataatanik	ataata<flertal<Instrumentalis
ataatagiinnut	ataata+GIIT<flertal<Terminalis
atiali	ateq<ental<hans<Absolut+LI
ateriilli	ateq+GIIT<flertal<Absolut+LI
atillit	ateq-LIK<flertal<Absolut
atilikkaana	ateq-LIK<flertal<min<Absolut+UNA
atermioqarneruna	ateq+MIU-QAR+NIQ+UNA
atissaalu	ateq-SSAQ<flertal<hans<Absolut+LU
atulaarpaa	ator-LAAR<Indikativ<HanHam
atulaartartoq	ator-LAAR=TAR<Participium<han
atulertigilli	ator-LIR<Imperativ<ViDem+LI
atoqqummanga	ator-QQU<Causativ<HanMig
atoqqugakku	ator-QQU<Causativ<JegHam
atoreertigit	ator-RIIR<Imperativ<ViDem
atuakkialerinerneeriarneq	atuakkialerineq<flertal<Lokalis+IP-RIAR+NIQ
atuakkialerininnguaneeriarpugulli	atuakkialerineq-NNGUAQ<ental<hans<Lokalis+IP-RIAR<Indikativ<vi+LI
atuarnianngitsullinuna	atuar+NIAR=NNGIT+TUQ-LIK<flertal<Absolut+UNA
atuariarlunga	atuar-RIAR<Ledsagemåde<jeg
Avanersuaq	Avanersuaq<Absolut
Avanersuarli	Avanersuaq<Absolut+LI
Avanersuarlu	Avanersuaq<Absolut+LU
Avanersuaruna	Avanersuaq<Absolut+UNA
Avanersuarmik	Avanersuaq<Instrumentalis
Avanersuarmillu	Avanersuaq<Instrumentalis+LU
Avanersuarminguna	Avanersuaq<Instrumentalis+UNA
Avanersuarmi	Avanersuaq<Lokalis
Avanersuarmiilaarlutik	Avanersuaq<Lokalis+IP-LAAR<Ledsagemåde<de_selv
Avanersuarmiilertunga	Avanersuaq<Lokalis+IP-LIR<Participium<jeg
Avanersuarmiinnginneruna	Avanersuaq<Lokalis+IP-NNGIT+NIQ+UNA
Avanersuarmeeqqaarpit	Avanersuaq<Lokalis+IP-QQAAR<Interrogativ<du
Avanersuarmeeqquaanga	Avanersuaq<Lokalis+IP-QQU<Indikativ<HanMig
Avanersuarmeeriarama	Avanersuaq<Lokalis+IP-RIAR<Causativ<jeg
Avanersuarmeeriartoq	Avanersuaq<Lokalis+IP-RIAR<Participium<han
Avanersuarmeeriartoqanngilarli	Avanersuaq<Lokalis+IP-RIAR+TUQ-QAR-NNGIT<Indikativ<han+LI
Avanersuarmeereerpit	Avanersuaq<Lokalis+IP-RIIR<Interrogativ<du
Avanersuarmili	Avanersuaq<Lokalis+LI
