aallalaartarpit	aallar-LAAR=TAR<Interrogativ<du
atilinnukareerpunga	ateq-LIK<flertal<Terminalis-KAR-RIIR<Indikativ<jeg
atinnguippulli	ateq-NNGUR-VIP<Indikativ<de+LI
ateqaqqaarpit	ateq-QAR-QQAAR<Interrogativ<du
atersiorunnaarama	ateq+SIUR+GUNNAAR<Causativ<jeg
atiusimasarpit	ateq-U+SIMA=TAR<Interrogativ<du
atuinnarlara	ator-INNAR<Optativ<JegHam
atulaartarakku	ator-LAAR=TAR<Causativ<JegHam
atulerpit	ator-LIR<Interrogativ<du
atornerugakku	ator+NIRU<Causativ<JegHam
atoriartunngua	ator-RIAR+TUQ-NNGUAQ<ental<hans<Absolut
atoreerlugilli	ator-RIIR<Ledsagemåde<dem+LI
atortarlara	ator+TAR<Optativ<JegHam
atorpallaanngitsungaana	ator+VALLAAR=NNGIT<Participium<jeg+UNA
atuakkialerinima	atuakkialerineq<flertal<min>Relativ
atuakkialerinimaana	atuakkialerineq<flertal<min>Relativ+UNA
atuakkialerinernulli	atuakkialerineq<flertal<Terminalis+LI
atuakkialerinermiuugaluarpit	atuakkialerineq+MIU-U+GALUAR<Interrogativ<du
atuarnerusunga	atuar+NIRU<Participium<jeg
Avanersuaq	Avanersuaq<Absolut
Avanersuarli	Avanersuaq<Absolut+LI
Avanersuarlu	Avanersuaq<Absolut+LU
Avanersuaruna	Avanersuaq<Absolut+UNA
Avanersuarmik	Avanersuaq<Instrumentalis
Avanersuarmilli	Avanersuaq<Instrumentalis+LI
Avanersuarminguna	Avanersuaq<Instrumentalis+UNA
Avanersuarmi	Avanersuaq<Lokalis
Avanersuarmeeqqaarmata	Avanersuaq<Lokalis+IP-QQAAR<Causativ<de
Avanersuarmeeqqaarmanuna	Avanersuaq<Lokalis+IP-QQAAR<Causativ<han+UNA
Avanersuarmeeqqaarporli	Avanersuaq<Lokalis+IP-QQAAR<Indikativ<han+LI
Avanersuarmeeriarmalli	Avanersuaq<Lokalis+IP-RIAR<Causativ<han+LI
Avanersuarmeeriaratta	Avanersuaq<Lokalis+IP-RIAR<Causativ<vi
Avanersuarmili	Avanersuaq<Lokalis+LI
Avanersuarmilu	Avanersuaq<Lokalis+LU
Avanersuarmiuninguna	Avanersuaq+MIU<flertal<Instrumentalis+UNA
Avanersuarmiuni	Avanersuaq+MIU<flertal<Lokalis
Avanersuarmioqarneq	Avanersuaq+MIU-QAR+NIQ
Avanersuarmioqartoq	Avanersuaq+MIU-QAR<Participium<han
Avanersuarmiuullutinguna	Avanersuaq+MIU-U<Ledsagemåde<de_selv+UNA
Avanersuarmiuusaraluarlutilli	Avanersuaq+MIU-U+TAR=GALUAR<Ledsagemåde<de_selv+LI
Avanersuarmut	Avanersuaq<Terminalis
Avanersuarmukalaartarpunga	Avanersuaq<Terminalis-KAR-LAAR=TAR<Indikativ<jeg
Avanersuarmukariarama	Avanersuaq<Terminalis-KAR-RIAR<Causativ<jeg
Avanersuarmukavinneq	Avanersuaq<Terminalis-KAR-VIP+NIQ
Avanersuarmulli	Avanersuaq<Terminalis+LI
Avanersuakkut	Avanersuaq<Vialis
