aamma	aamma<Partikel
Aasiammiuuvugulli	Aasiaat+MIU-U<Indikativ<vi+LI
Aasiammiuuit	Aasiaat+MIU-U<Interrogativ<du
Aasiammiuusungali	Aasiaat+MIU-U<Participium<jeg+LI
Aasiammiuussavit	Aasiaat+MIU-U-SSA<Interrogativ<du
Aasiammiuusartunga	Aasiaat+MIU-U+TAR<Participium<jeg
Aasiammiuusassagaluartungali	Aasiaat+MIU-U+TAR-SSA+GALUAR<Participium<jeg+LI
Aasiammiuusassavit	Aasiaat+MIU-U+TAR-SSA<Interrogativ<du
akisooq	akisooq<ental<Absolut
akisoorli	akisooq<ental<Absolut+LI
akisoorlu	akisooq<ental<Absolut+LU
akisuumik	akisooq<ental<Instrumentalis
akisuumilli	akisooq<ental<Instrumentalis+LI
akisuumi	akisooq<ental<Lokalis
akisuumili	akisooq<ental<Lokalis+LI
akisuumullu	akisooq<ental<Terminalis+LU
akisuunik	akisooq<flertal<Instrumentalis
akisuunilli	akisooq<flertal<Instrumentalis+LI
akisuunillu	akisooq<flertal<Instrumentalis+LU
akisuuni	akisooq<flertal<Lokalis
akisuunili	akisooq<flertal<Lokalis+LI
akisuunngoraluarpoq	akisooq-NNGUR+GALUAR<Indikativ<han
akisuunngoraluarporli	akisooq-NNGUR+GALUAR<Indikativ<han+LI
akisuunngussagaluarporli	akisooq-NNGUR-SSA+GALUAR<Indikativ<han+LI
akisuunngussavorli	akisooq-NNGUR-SSA<Indikativ<han+LI
akisuunngortassasungali	akisooq-NNGUR+TAR-SSA<Participium<jeg+LI
akisooqaraluarporli	akisooq-QAR+GALUAR<Indikativ<han+LI
akisooqarporli	akisooq-QAR<Indikativ<han+LI
akisooqassagaluarpoq	akisooq-QAR-SSA+GALUAR<Indikativ<han
akisooqassagaluarporli	akisooq-QAR-SSA+GALUAR<Indikativ<han+LI
akisooqassagaluarporlu	akisooq-QAR-SSA+GALUAR<Indikativ<han+LU
akisooqassavorli	akisooq-QAR-SSA<Indikativ<han+LI
akisooqartaraluarpoq	akisooq-QAR+TAR+GALUAR<Indikativ<han
akisooqartassagaluarpit	akisooq-QAR+TAR-SSA+GALUAR<Interrogativ<du
akisooqartassagaluartunga	akisooq-QAR+TAR-SSA+GALUAR<Participium<jeg
akisooqartassavit	akisooq-QAR+TAR-SSA<Interrogativ<du
akisuujugaluarporlu	akisooq-U+GALUAR<Indikativ<han+LU
akisuujugaluartunga	akisooq-U+GALUAR<Participium<jeg
akisuujuvorli	akisooq-U<Indikativ<han+LI
akisuujuvunga	akisooq-U<Indikativ<jeg
akisuujussagaluarpit	akisooq-U-SSA+GALUAR<Interrogativ<du
akisuujussavorli	akisooq-U-SSA<Indikativ<han+LI
akisuujussasunga	akisooq-U-SSA<Participium<jeg
akisuujusaraluarporli	akisooq-U+TAR+GALUAR<Indikativ<han+LI
akisuujusaraluartunga	akisooq-U+TAR+GALUAR<Participium<jeg
akisuujusarpugut	akisooq-U+TAR<Indikativ<vi
akisuujusassagaluartunga	akisooq-U+TAR-SSA+GALUAR<Participium<jeg
anaanagali	anaana<ental<Absolut<min+LI
anaanamilli	anaana<ental<Instrumentalis+LI
anaanamili	anaana<ental<Lokalis+LI
anaanani	anaana<flertal<Lokalis
anaananili	anaana<flertal<Lokalis+LI
anaanalerigaluarpit	anaana-LIRI+GALUAR<Interrogativ<du
anaanalerivungali	anaana-LIRI<Indikativ<jeg+LI
anaanalerisungalu	anaana-LIRI<Participium<jeg+LU
anaanalerisartunga	anaana-LIRI+TAR<Participium<jeg
anaanamiuni	anaana+MIU<flertal<Lokalis
anaanamiunilu	anaana+MIU<flertal<Lokalis+LU
anaanamiulerigaluarpungalu	anaana+MIU-LIRI+GALUAR<Indikativ<jeg+LU
anaanamiunngoraluartunga	anaana+MIU-NNGUR+GALUAR<Participium<jeg
anaanamioqarpoq	anaana+MIU-QAR<Indikativ<han
anaanamioqarporli	anaana+MIU-QAR<Indikativ<han+LI
anaanamiuugaluartunga	anaana+MIU-U+GALUAR<Participium<jeg
anaanamiuuvorli	anaana+MIU-U<Indikativ<han+LI
anaanamiuuvunga	anaana+MIU-U<Indikativ<jeg
anaanamiuussagaluartunga	anaana+MIU-U-SSA+GALUAR<Participium<jeg
anaanamiuussavunga	anaana+MIU-U-SSA<Indikativ<jeg
anaanamiuussavugulli	anaana+MIU-U-SSA<Indikativ<vi+LI
anaanamiuusarpit	anaana+MIU-U+TAR<Interrogativ<du
anaanamiuusassagaluartungalu	anaana+MIU-U+TAR-SSA+GALUAR<Participium<jeg+LU
anaanamiuusassavit	anaana+MIU-U+TAR-SSA<Interrogativ<du
anaananngoraluarpit	anaana-NNGUR+GALUAR<Interrogativ<du
anaananngussagaluarpit	anaana-NNGUR-SSA+GALUAR<Interrogativ<du
anaananngortassavorli	anaana-NNGUR+TAR-SSA<Indikativ<han+LI
anaanaqaraluartunga	anaana-QAR+GALUAR<Participium<jeg
anaanaqartunga	anaana-QAR<Participium<jeg
anaanaqassagaluartunga	anaana-QAR-SSA+GALUAR<Participium<jeg
anaanaqassavungali	anaana-QAR-SSA<Indikativ<jeg+LI
anaanaqassasunga	anaana-QAR-SSA<Participium<jeg
anaanaqartaraluarpunga	anaana-QAR+TAR+GALUAR<Indikativ<jeg
anaanaasunga	anaana-U<Participium<jeg
anaanaassagaluarpugullu	anaana-U-SSA+GALUAR<Indikativ<vi+LU
ataata	ataata<ental<Absolut
ataatagali	ataata<ental<Absolut<min+LI
ataatagalu	ataata<ental<Absolut<min+LU
ataatanik	ataata<flertal<Instrumentalis
ataatanillu	ataata<flertal<Instrumentalis+LU
ataatani	ataata<flertal<Lokalis
ataatanili	ataata<flertal<Lokalis+LI
ataatalerisaraluarpit	ataata-LIRI+TAR+GALUAR<Interrogativ<du
ataatalerisassasunga	ataata-LIRI+TAR-SSA<Participium<jeg
ataatamiumut	ataata+MIU<ental<Terminalis
ataatamiulerivugullu	ataata+MIU-LIRI<Indikativ<vi+LU
ataatamiulerisarpugut	ataata+MIU-LIRI+TAR<Indikativ<vi
ataatamioqarporli	ataata+MIU-QAR<Indikativ<han+LI
ataatamioqarporlu	ataata+MIU-QAR<Indikativ<han+LU
ataatamiuuvunga	ataata+MIU-U<Indikativ<jeg
ataatamiuusaraluarpit	ataata+MIU-U+TAR+GALUAR<Interrogativ<du
ataatamiuusartunga	ataata+MIU-U+TAR<Participium<jeg
ataatanngorpugulli	ataata-NNGUR<Indikativ<vi+LI
ataatanngussagaluarporlu	ataata-NNGUR-SSA+GALUAR<Indikativ<han+LU
ataatanngussavorlu	ataata-NNGUR-SSA<Indikativ<han+LU
ataataqartunga	ataata-QAR<Participium<jeg
ataataagaluartungalu	ataata-U+GALUAR<Participium<jeg+LU
ataataavugut	ataata-U<Indikativ<vi
ateqartungali	ateqar<Participium<jeg+LI
ateqassavit	ateqar-SSA<Interrogativ<du
ateq	ateq<ental<Absolut
atermi	ateq<ental<Lokalis
atermulli	ateq<ental<Terminalis+LI
aterni	ateq<flertal<Lokalis
atilerigaluarpoq	ateq-LIRI+GALUAR<Indikativ<han
atilerigaluarpunga	ateq-LIRI+GALUAR<Indikativ<jeg
atilerivungali	ateq-LIRI<Indikativ<jeg+LI
atilerissasungali	ateq-LIRI-SSA<Participium<jeg+LI
atilerisaraluarpit	ateq-LIRI+TAR+GALUAR<Interrogativ<du
atilerisarpit	ateq-LIRI+TAR<Interrogativ<du
atermiunngortassagaluarpoq	ateq+MIU-NNGUR+TAR-SSA+GALUAR<Indikativ<han
atermiuuit	ateq+MIU-U<Interrogativ<du
atinngussagaluartungalu	ateq-NNGUR-SSA+GALUAR<Participium<jeg+LU
atinngussavunga	ateq-NNGUR-SSA<Indikativ<jeg
ateqartunga	ateq-QAR<Participium<jeg
ateqassagaluarpungali	ateq-QAR-SSA+GALUAR<Indikativ<jeg+LI
ateqassagaluarpugulli	ateq-QAR-SSA+GALUAR<Indikativ<vi+LI
ateqassavit	ateq-QAR-SSA<Interrogativ<du
ateqassasunga	ateq-QAR-SSA<Participium<jeg
ateqartaraluarpit	ateq-QAR+TAR+GALUAR<Interrogativ<du
atiuvungali	ateq-U<Indikativ<jeg+LI
atiuit	ateq-U<Interrogativ<du
atiussagaluartungali	ateq-U-SSA+GALUAR<Participium<jeg+LI
atiussavit	ateq-U-SSA<Interrogativ<du
atiusaraluarpit	ateq-U+TAR+GALUAR<Interrogativ<du
atiusarpunga	ateq-U+TAR<Indikativ<jeg
atiusarpit	ateq-U+TAR<Interrogativ<du
atiusassasungali	ateq-U+TAR-SSA<Participium<jeg+LI
Avanersuaq	Avanersuaq<Absolut
Avanersuarli	Avanersuaq<Absolut+LI
Avanersuarlu	Avanersuaq<Absolut+LU
Avanersuarmik	Avanersuaq<Instrumentalis
Avanersuarmilli	Avanersuaq<Instrumentalis+LI
Avanersuarmillu	Avanersuaq<Instrumentalis+LU
Avanersuarmi	Avanersuaq<Lokalis
Avanersuarmili	Avanersuaq<Lokalis+LI
Avanersuarmiuli	Avanersuaq+MIU<ental<Absolut+LI
Avanersuarmiunik	Avanersuaq+MIU<flertal<Instrumentalis
Avanersuarmiuni	Avanersuaq+MIU<flertal<Lokalis
Avanersuarmiunili	Avanersuaq+MIU<flertal<Lokalis+LI
Avanersuarmiulerivit	Avanersuaq+MIU-LIRI<Interrogativ<du
Avanersuarmiulerisaraluartunga	Avanersuaq+MIU-LIRI+TAR+GALUAR<Participium<jeg
Avanersuarmiulerisassavoq	Avanersuaq+MIU-LIRI+TAR-SSA<Indikativ<han
Avanersuarmiunngortunga	Avanersuaq+MIU-NNGUR<Participium<jeg
Avanersuarmiunngussagaluartungali	Avanersuaq+MIU-NNGUR-SSA+GALUAR<Participium<jeg+LI
Avanersuarmiunngussavit	Avanersuaq+MIU-NNGUR-SSA<Interrogativ<du
Avanersuarmiunngortarpugulli	Avanersuaq+MIU-NNGUR+TAR<Indikativ<vi+LI
Avanersuarmioqarpoq	Avanersuaq+MIU-QAR<Indikativ<han
Avanersuarmioqarporli	Avanersuaq+MIU-QAR<Indikativ<han+LI
Avanersuarmiuugaluarpit	Avanersuaq+MIU-U+GALUAR<Interrogativ<du
Avanersuarmiuugaluartunga	Avanersuaq+MIU-U+GALUAR<Participium<jeg
Avanersuarmiuuvunga	Avanersuaq+MIU-U<Indikativ<jeg
Avanersuarmiuuit	Avanersuaq+MIU-U<Interrogativ<du
Avanersuarmiuusunga	Avanersuaq+MIU-U<Participium<jeg
Avanersuarmiuusungali	Avanersuaq+MIU-U<Participium<jeg+LI
Avanersuarmiuussagaluarporlu	Avanersuaq+MIU-U-SSA+GALUAR<Indikativ<han+LU
Avanersuarmiuussagaluarpit	Avanersuaq+MIU-U-SSA+GALUAR<Interrogativ<du
Avanersuarmiuussavungali	Avanersuaq+MIU-U-SSA<Indikativ<jeg+LI
Avanersuarmiuussavit	Avanersuaq+MIU-U-SSA<Interrogativ<du
Avanersuarmiuusaraluarpit	Avanersuaq+MIU-U+TAR+GALUAR<Interrogativ<du
Avanersuarmiuusaraluartunga	Avanersuaq+MIU-U+TAR+GALUAR<Participium<jeg
Avanersuarmiuusarpugulli	Avanersuaq+MIU-U+TAR<Indikativ<vi+LI
Avanersuarmiuusartunga	Avanersuaq+MIU-U+TAR<Participium<jeg
Avanersuarmiuusassagaluarpit	Avanersuaq+MIU-U+TAR-SSA+GALUAR<Interrogativ<du
Avanersuarmiuusassagaluartungalu	Avanersuaq+MIU-U+TAR-SSA+GALUAR<Participium<jeg+LU
Avanersuarmulli	Avanersuaq<Terminalis+LI
Avanersuarmullu	Avanersuaq<Terminalis+LU
eqqaamagaluarpaalli	eqqaama+GALUAR<Indikativ<DeHam+LI
eqqaamagaluarpaannga	eqqaama+GALUAR<Indikativ<DeMig
eqqaamagaluarpaanngali	eqqaama+GALUAR<Indikativ<DeMig+LI
eqqaamagaluarpassi	eqqaama+GALUAR<Indikativ<JegJer
eqqaamagaluarpassili	eqqaama+GALUAR<Indikativ<JegJer+LI
eqqaamagaluarpiuk	eqqaama+GALUAR<Interrogativ<DuHam
eqqaamavaannga	eqqaama<Indikativ<DeMig
eqqaamavaanngali	eqqaama<Indikativ<DeMig+LI
eqqaamavassilu	eqqaama<Indikativ<JegJer+LU
eqqaamaviuk	eqqaama<Interrogativ<DuHam
eqqaamassagaluarpaat	eqqaama-SSA+GALUAR<Indikativ<DeHam
eqqaamassagaluarpassi	eqqaama-SSA+GALUAR<Indikativ<JegJer
eqqaamassagaluarpiuk	eqqaama-SSA+GALUAR<Interrogativ<DuHam
eqqaamassavaat	eqqaama-SSA<Indikativ<DeHam
eqqaamassavaallu	eqqaama-SSA<Indikativ<DeHam+LU
eqqaamassavaannga	eqqaama-SSA<Indikativ<DeMig
eqqaamassavaanngali	eqqaama-SSA<Indikativ<DeMig+LI
eqqaamassavassi	eqqaama-SSA<Indikativ<JegJer
eqqaamassavassili	eqqaama-SSA<Indikativ<JegJer+LI
eqqaamassavassilu	eqqaama-SSA<Indikativ<JegJer+LU
eqqaamassaviuk	eqqaama-SSA<Interrogativ<DuHam
eqqaamasaraluarpaat	eqqaama+TAR+GALUAR<Indikativ<DeHam
eqqaamasaraluarpaanngali	eqqaama+TAR+GALUAR<Indikativ<DeMig+LI
eqqaamasaraluarpaanngalu	eqqaama+TAR+GALUAR<Indikativ<DeMig+LU
eqqaamasaraluarpassi	eqqaama+TAR+GALUAR<Indikativ<JegJer
eqqaamasaraluarpassili	eqqaama+TAR+GALUAR<Indikativ<JegJer+LI
eqqaamasaraluarpassilu	eqqaama+TAR+GALUAR<Indikativ<JegJer+LU
eqqaamasaraluarpiuk	eqqaama+TAR+GALUAR<Interrogativ<DuHam
eqqaamasarpassili	eqqaama+TAR<Indikativ<JegJer+LI
eqqaamasarpassilu	eqqaama+TAR<Indikativ<JegJer+LU
eqqaamasarpiuk	eqqaama+TAR<Interrogativ<DuHam
eqqaamasassagaluarpaat	eqqaama+TAR-SSA+GALUAR<Indikativ<DeHam
eqqaamasassagaluarpaanngali	eqqaama+TAR-SSA+GALUAR<Indikativ<DeMig+LI
eqqaamasassagaluarpassilu	eqqaama+TAR-SSA+GALUAR<Indikativ<JegJer+LU
eqqaamasassavaalli	eqqaama+TAR-SSA<Indikativ<DeHam+LI
eqqaamasassavaannga	eqqaama+TAR-SSA<Indikativ<DeMig
eqqaamasassavaanngali	eqqaama+TAR-SSA<Indikativ<DeMig+LI
eqqaamasassavassilu	eqqaama+TAR-SSA<Indikativ<JegJer+LU
eqqaamasassaviuk	eqqaama+TAR-SSA<Interrogativ<DuHam
eqqumiitsuliortoq	eqqumiitsuliortoq<ental<Absolut
eqqumiitsuliortorli	eqqumiitsuliortoq<ental<Absolut+LI
eqqumiitsuliortorlu	eqqumiitsuliortoq<ental<Absolut+LU
eqqumiitsuliortora	eqqumiitsuliortoq<ental<Absolut<min
eqqumiitsuliortorali	eqqumiitsuliortoq<ental<Absolut<min+LI
eqqumiitsuliortumilli	eqqumiitsuliortoq<ental<Instrumentalis+LI
eqqumiitsuliortumillu	eqqumiitsuliortoq<ental<Instrumentalis+LU
eqqumiitsuliortumi	eqqumiitsuliortoq<ental<Lokalis
eqqumiitsuliortumut	eqqumiitsuliortoq<ental<Terminalis
eqqumiitsuliortunik	eqqumiitsuliortoq<flertal<Instrumentalis
eqqumiitsuliortunilli	eqqumiitsuliortoq<flertal<Instrumentalis+LI
eqqumiitsuliortunillu	eqqumiitsuliortoq<flertal<Instrumentalis+LU
eqqumiitsuliortuni	eqqumiitsuliortoq<flertal<Lokalis
eqqumiitsuliortunili	eqqumiitsuliortoq<flertal<Lokalis+LI
eqqumiitsuliortulerigaluartungali	eqqumiitsuliortoq-LIRI+GALUAR<Participium<jeg+LI
eqqumiitsuliortulerivorli	eqqumiitsuliortoq-LIRI<Indikativ<han+LI
eqqumiitsuliortulerisunga	eqqumiitsuliortoq-LIRI<Participium<jeg
eqqumiitsuliortulerisaraluarpungalu	eqqumiitsuliortoq-LIRI+TAR+GALUAR<Indikativ<jeg+LU
eqqumiitsuliortulerisaraluarpugullu	eqqumiitsuliortoq-LIRI+TAR+GALUAR<Indikativ<vi+LU
eqqumiitsuliortulerisaraluarpit	eqqumiitsuliortoq-LIRI+TAR+GALUAR<Interrogativ<du
eqqumiitsuliortulerisassagaluarpit	eqqumiitsuliortoq-LIRI+TAR-SSA+GALUAR<Interrogativ<du
eqqumiitsuliortulerisassagaluartunga	eqqumiitsuliortoq-LIRI+TAR-SSA+GALUAR<Participium<jeg
eqqumiitsuliortulerisassagaluartungalu	eqqumiitsuliortoq-LIRI+TAR-SSA+GALUAR<Participium<jeg+LU
eqqumiitsuliortulerisassavoq	eqqumiitsuliortoq-LIRI+TAR-SSA<Indikativ<han
eqqumiitsuliortulerisassasunga	eqqumiitsuliortoq-LIRI+TAR-SSA<Participium<jeg
eqqumiitsuliortulerisassasungali	eqqumiitsuliortoq-LIRI+TAR-SSA<Participium<jeg+LI
eqqumiitsuliortormiunilli	eqqumiitsuliortoq+MIU<flertal<Instrumentalis+LI
eqqumiitsuliortormiuni	eqqumiitsuliortoq+MIU<flertal<Lokalis
eqqumiitsuliortormiulerigaluartungali	eqqumiitsuliortoq+MIU-LIRI+GALUAR<Participium<jeg+LI
eqqumiitsuliortormiulerissagaluarpunga	eqqumiitsuliortoq+MIU-LIRI-SSA+GALUAR<Indikativ<jeg
eqqumiitsuliortormiulerisarpungali	eqqumiitsuliortoq+MIU-LIRI+TAR<Indikativ<jeg+LI
eqqumiitsuliortormiunngorpoq	eqqumiitsuliortoq+MIU-NNGUR<Indikativ<han
eqqumiitsuliortormioqarpoq	eqqumiitsuliortoq+MIU-QAR<Indikativ<han
eqqumiitsuliortormioqarporli	eqqumiitsuliortoq+MIU-QAR<Indikativ<han+LI
eqqumiitsuliortormioqarporlu	eqqumiitsuliortoq+MIU-QAR<Indikativ<han+LU
eqqumiitsuliortormiuuvorli	eqqumiitsuliortoq+MIU-U<Indikativ<han+LI
eqqumiitsuliortormiuussagaluarporlu	eqqumiitsuliortoq+MIU-U-SSA+GALUAR<Indikativ<han+LU
eqqumiitsuliortormiuussagaluartungali	eqqumiitsuliortoq+MIU-U-SSA+GALUAR<Participium<jeg+LI
eqqumiitsuliortormiuusaraluarpunga	eqqumiitsuliortoq+MIU-U+TAR+GALUAR<Indikativ<jeg
eqqumiitsuliortormiuusarpoq	eqqumiitsuliortoq+MIU-U+TAR<Indikativ<han
eqqumiitsuliortormiuusassagaluarpugullu	eqqumiitsuliortoq+MIU-U+TAR-SSA+GALUAR<Indikativ<vi+LU
eqqumiitsuliortormiuusassavit	eqqumiitsuliortoq+MIU-U+TAR-SSA<Interrogativ<du
eqqumiitsuliortunngorpoq	eqqumiitsuliortoq-NNGUR<Indikativ<han
eqqumiitsuliortunngorpit	eqqumiitsuliortoq-NNGUR<Interrogativ<du
eqqumiitsuliortunngortunga	eqqumiitsuliortoq-NNGUR<Participium<jeg
eqqumiitsuliortunngussagaluarpunga	eqqumiitsuliortoq-NNGUR-SSA+GALUAR<Indikativ<jeg
eqqumiitsuliortunngussagaluartunga	eqqumiitsuliortoq-NNGUR-SSA+GALUAR<Participium<jeg
eqqumiitsuliortunngortarpungali	eqqumiitsuliortoq-NNGUR+TAR<Indikativ<jeg+LI
eqqumiitsuliortoqaraluarpit	eqqumiitsuliortoq-QAR+GALUAR<Interrogativ<du
eqqumiitsuliortoqartungali	eqqumiitsuliortoq-QAR<Participium<jeg+LI
eqqumiitsuliortoqassagaluarpunga	eqqumiitsuliortoq-QAR-SSA+GALUAR<Indikativ<jeg
eqqumiitsuliortoqassagaluarpungali	eqqumiitsuliortoq-QAR-SSA+GALUAR<Indikativ<jeg+LI
eqqumiitsuliortoqassagaluarpugullu	eqqumiitsuliortoq-QAR-SSA+GALUAR<Indikativ<vi+LU
eqqumiitsuliortoqassagaluarpit	eqqumiitsuliortoq-QAR-SSA+GALUAR<Interrogativ<du
eqqumiitsuliortoqassagaluartunga	eqqumiitsuliortoq-QAR-SSA+GALUAR<Participium<jeg
eqqumiitsuliortoqassavunga	eqqumiitsuliortoq-QAR-SSA<Indikativ<jeg
eqqumiitsuliortoqassavugullu	eqqumiitsuliortoq-QAR-SSA<Indikativ<vi+LU
eqqumiitsuliortoqassavit	eqqumiitsuliortoq-QAR-SSA<Interrogativ<du
eqqumiitsuliortoqassasunga	eqqumiitsuliortoq-QAR-SSA<Participium<jeg
eqqumiitsuliortoqassasungali	eqqumiitsuliortoq-QAR-SSA<Participium<jeg+LI
eqqumiitsuliortoqartaraluarpit	eqqumiitsuliortoq-QAR+TAR+GALUAR<Interrogativ<du
eqqumiitsuliortoqartarporli	eqqumiitsuliortoq-QAR+TAR<Indikativ<han+LI
eqqumiitsuliortoqartartunga	eqqumiitsuliortoq-QAR+TAR<Participium<jeg
eqqumiitsuliortoqartassasunga	eqqumiitsuliortoq-QAR+TAR-SSA<Participium<jeg
eqqumiitsuliortuuvunga	eqqumiitsuliortoq-U<Indikativ<jeg
eqqumiitsuliortuuvungali	eqqumiitsuliortoq-U<Indikativ<jeg+LI
eqqumiitsuliortuuit	eqqumiitsuliortoq-U<Interrogativ<du
eqqumiitsuliortuusunga	eqqumiitsuliortoq-U<Participium<jeg
eqqumiitsuliortuussavoq	eqqumiitsuliortoq-U-SSA<Indikativ<han
eqqumiitsuliortuusaraluarpunga	eqqumiitsuliortoq-U+TAR+GALUAR<Indikativ<jeg
eqqumiitsuliortuusassagaluarpungali	eqqumiitsuliortoq-U+TAR-SSA+GALUAR<Indikativ<jeg+LI
eqqumiitsuliortuusassasungalu	eqqumiitsuliortoq-U+TAR-SSA<Participium<jeg+LU
Esbjerg	Esbjerg<Absolut
Esbjergili	Esbjerg<Absolut+LI
Esbjergilu	Esbjerg<Absolut+LU
Esbjergimik	Esbjerg<Instrumentalis
Esbjergimilli	Esbjerg<Instrumentalis+LI
Esbjergimillu	Esbjerg<Instrumentalis+LU
Esbjergimi	Esbjerg<Lokalis
Esbjergimili	Esbjerg<Lokalis+LI
Esbjergimilu	Esbjerg<Lokalis+LU
Esbjergimiu	Esbjerg+MIU<ental<Absolut
Esbjergimiulu	Esbjerg+MIU<ental<Absolut+LU
Esbjergimiumik	Esbjerg+MIU<ental<Instrumentalis
Esbjergimiumi	Esbjerg+MIU<ental<Lokalis
Esbjergimiumilu	Esbjerg+MIU<ental<Lokalis+LU
Esbjergimiumut	Esbjerg+MIU<ental<Terminalis
Esbjergimiunik	Esbjerg+MIU<flertal<Instrumentalis
Esbjergimiunilli	Esbjerg+MIU<flertal<Instrumentalis+LI
Esbjergimiunillu	Esbjerg+MIU<flertal<Instrumentalis+LU
Esbjergimiuni	Esbjerg+MIU<flertal<Lokalis
Esbjergimiunili	Esbjerg+MIU<flertal<Lokalis+LI
Esbjergimiunilu	Esbjerg+MIU<flertal<Lokalis+LU
Esbjergimiulerigaluarpungalu	Esbjerg+MIU-LIRI+GALUAR<Indikativ<jeg+LU
Esbjergimiulerivoq	Esbjerg+MIU-LIRI<Indikativ<han
Esbjergimiulerivugulli	Esbjerg+MIU-LIRI<Indikativ<vi+LI
Esbjergimiulerisunga	Esbjerg+MIU-LIRI<Participium<jeg
Esbjergimiulerissagaluarpungali	Esbjerg+MIU-LIRI-SSA+GALUAR<Indikativ<jeg+LI
Esbjergimiulerissavit	Esbjerg+MIU-LIRI-SSA<Interrogativ<du
Esbjergimiulerisaraluartunga	Esbjerg+MIU-LIRI+TAR+GALUAR<Participium<jeg
Esbjergimiulerisassasungalu	Esbjerg+MIU-LIRI+TAR-SSA<Participium<jeg+LU
Esbjergimiunngorpungali	Esbjerg+MIU-NNGUR<Indikativ<jeg+LI
Esbjergimiunngussagaluartunga	Esbjerg+MIU-NNGUR-SSA+GALUAR<Participium<jeg
Esbjergimiunngussavoq	Esbjerg+MIU-NNGUR-SSA<Indikativ<han
Esbjergimiunngussavugut	Esbjerg+MIU-NNGUR-SSA<Indikativ<vi
Esbjergimiunngussavit	Esbjerg+MIU-NNGUR-SSA<Interrogativ<du
Esbjergimiunngussasunga	Esbjerg+MIU-NNGUR-SSA<Participium<jeg
Esbjergimiunngortaraluartungali	Esbjerg+MIU-NNGUR+TAR+GALUAR<Participium<jeg+LI
Esbjergimiunngortassagaluarpunga	Esbjerg+MIU-NNGUR+TAR-SSA+GALUAR<Indikativ<jeg
Esbjergimiunngortassagaluarpit	Esbjerg+MIU-NNGUR+TAR-SSA+GALUAR<Interrogativ<du
Esbjergimioqarpoq	Esbjerg+MIU-QAR<Indikativ<han
Esbjergimioqarporli	Esbjerg+MIU-QAR<Indikativ<han+LI
Esbjergimioqarporlu	Esbjerg+MIU-QAR<Indikativ<han+LU
Esbjergimiuugaluarpunga	Esbjerg+MIU-U+GALUAR<Indikativ<jeg
Esbjergimiuugaluarpungalu	Esbjerg+MIU-U+GALUAR<Indikativ<jeg+LU
Esbjergimiuugaluarpugulli	Esbjerg+MIU-U+GALUAR<Indikativ<vi+LI
Esbjergimiuugaluarpit	Esbjerg+MIU-U+GALUAR<Interrogativ<du
Esbjergimiuugaluartunga	Esbjerg+MIU-U+GALUAR<Participium<jeg
Esbjergimiuuvorlu	Esbjerg+MIU-U<Indikativ<han+LU
Esbjergimiuuvunga	Esbjerg+MIU-U<Indikativ<jeg
Esbjergimiuuvungali	Esbjerg+MIU-U<Indikativ<jeg+LI
Esbjergimiuuvungalu	Esbjerg+MIU-U<Indikativ<jeg+LU
Esbjergimiuuvugut	Esbjerg+MIU-U<Indikativ<vi
Esbjergimiuuvugulli	Esbjerg+MIU-U<Indikativ<vi+LI
Esbjergimiuuit	Esbjerg+MIU-U<Interrogativ<du
Esbjergimiuusunga	Esbjerg+MIU-U<Participium<jeg
