aap	aap<Partikel
nuussimanerit	nuup+SIMA+NIQ<flertal<Absolut
nuussimanerit	nuup+SIMA+NIQ<flertal<Relativ
nuussimanernut	nuup+SIMA+NIQ<flertal<Terminalis
nuussimanerinnaat	nuup+SIMA+NIQ-INNAQ<ental<deres<Absolut
nuussimanerinnarnut	nuup+SIMA+NIQ-INNAQ<flertal<Terminalis
nuussimanillit	nuup+SIMA+NIQ-LIK<flertal<Absolut
nuussimanillit	nuup+SIMA+NIQ-LIK<flertal<Relativ
nuussimanilinnut	nuup+SIMA+NIQ-LIK<Terminalis<flertal
oqaasilerineq	oqaasilerineq<ental<Absolut
oqaasilerinertut	oqaasilerineq<ental<Aequalis
oqaasilerinerat	oqaasilerineq<ental<deres<Absolut
oqaasilerinerit	oqaasilerineq<flertal<Absolut
oqaasilerinerit	oqaasilerineq<flertal<Relativ
oqaasilerinernut	oqaasilerineq<flertal<Terminalis
oqaasilerinerinnaq	oqaasilerineq-INNAQ<ental<Absolut
oqaasilerinerinnartut	oqaasilerineq-INNAQ<ental<Aequalis
oqaasilerinerinnaat	oqaasilerineq-INNAQ<ental<deres<Absolut
oqaasilerinerinnaat	oqaasilerineq-INNAQ<flertal<Relativ
oqaasilerinerinnarnut	oqaasilerineq-INNAQ<flertal<Terminalis
oqaasilerinilik	oqaasilerineq-LIK<ental<Absolut
oqaasilerinilittut	oqaasilerineq-LIK<ental<Aequalis
oqaasileriniliat	oqaasilerineq-LIK<ental<deres<Absolut
oqaasilerinillit	oqaasilerineq-LIK<flertal<Absolut
oqaasilerinillit	oqaasilerineq-LIK<flertal<Relativ
oqaasilerinilinnut	oqaasilerineq-LIK<Terminalis<flertal
oqaasilerinerpassuit	oqaasilerineq+PASSUAQ<flertal<Absolut
oqaasilerinerpassuartut	oqaasilerineq+PASSUAQ<flertal<Aequalis
oqaasilerinerpassuarnut	oqaasilerineq+PASSUAQ<flertal<Terminalis
oqaluttuarpoq	oqaluttuar<Indikativ<han
oqaluttualaarpoq	oqaluttuar-LAAR<Indikativ<han
oqaluttualaarneq	oqaluttuar-LAAR+NIQ<ental<Absolut
oqaluttualaarnertut	oqaluttuar-LAAR+NIQ<ental<Aequalis
oqaluttualaarnerat	oqaluttuar-LAAR+NIQ<ental<deres<Absolut
oqaluttualaarnerit	oqaluttuar-LAAR+NIQ<flertal<Absolut
oqaluttualaarnernut	oqaluttuar-LAAR+NIQ<flertal<Terminalis
oqaluttualaarnerinnaq	oqaluttuar-LAAR+NIQ-INNAQ<ental<Absolut
oqaluttualaarnerinnartut	oqaluttuar-LAAR+NIQ-INNAQ<ental<Aequalis
oqaluttualaarnerinnaat	oqaluttuar-LAAR+NIQ-INNAQ<ental<deres<Absolut
oqaluttualaarnilik	oqaluttuar-LAAR+NIQ-LIK<ental<Absolut
oqaluttualaarnilittut	oqaluttuar-LAAR+NIQ-LIK<ental<Aequalis
oqaluttualaarniliat	oqaluttuar-LAAR+NIQ-LIK<ental<deres<Absolut
oqaluttualaarnillit	oqaluttuar-LAAR+NIQ-LIK<flertal<Absolut
oqaluttualaarnillit	oqaluttuar-LAAR+NIQ-LIK<flertal<Relativ
oqaluttualaarnilinnut	oqaluttuar-LAAR+NIQ-LIK<Terminalis<flertal
oqaluttualaarnerpassuit	oqaluttuar-LAAR+NIQ+PASSUAQ<flertal<Absolut
oqaluttuarneq	oqaluttuar+NIQ<ental<Absolut
oqaluttuarnerit	oqaluttuar+NIQ<flertal<Absolut
oqaluttuarnerit	oqaluttuar+NIQ<flertal<Relativ
oqaluttuarnerinnaat	oqaluttuar+NIQ-INNAQ<flertal<Absolut
oqaluttuarnilittut	oqaluttuar+NIQ-LIK<ental<Aequalis
oqaluttuarnillit	oqaluttuar+NIQ-LIK<flertal<Absolut
oqaluttuarnillit	oqaluttuar+NIQ-LIK<flertal<Relativ
oqaluttuarnerpassuit	oqaluttuar+NIQ+PASSUAQ<flertal<Absolut
oqaluttuarnerpassuarnut	oqaluttuar+NIQ+PASSUAQ<flertal<Terminalis
oqaluttuarsimavoq	oqaluttuar+SIMA<Indikativ<han
oqaluttuarsimaneq	oqaluttuar+SIMA+NIQ<ental<Absolut
oqaluttuarsimanerat	oqaluttuar+SIMA+NIQ<ental<deres<Absolut
oqaluttuarsimanerit	oqaluttuar+SIMA+NIQ<flertal<Absolut
oqaluttuarsimanerinnaq	oqaluttuar+SIMA+NIQ-INNAQ<ental<Absolut
oqaluttuarsimanerinnaat	oqaluttuar+SIMA+NIQ-INNAQ<ental<deres<Absolut
oqaluttuarsimanillit	oqaluttuar+SIMA+NIQ-LIK<flertal<Absolut
oqaluttuarsimanillit	oqaluttuar+SIMA+NIQ-LIK<flertal<Relativ
oqaluttuarsimanilinnut	oqaluttuar+SIMA+NIQ-LIK<Terminalis<flertal
oqarpoq	oqar<Indikativ<han
oqalaarpoq	oqar-LAAR<Indikativ<han
oqalaarneq	oqar-LAAR+NIQ<ental<Absolut
oqalaarnertut	oqar-LAAR+NIQ<ental<Aequalis
oqalaarnerat	oqar-LAAR+NIQ<ental<deres<Absolut
oqalaarnerit	oqar-LAAR+NIQ<flertal<Relativ
oqalaarnernut	oqar-LAAR+NIQ<flertal<Terminalis
oqalaarnerinnaq	oqar-LAAR+NIQ-INNAQ<ental<Absolut
oqalaarnerinnartut	oqar-LAAR+NIQ-INNAQ<ental<Aequalis
oqalaarnerinnaat	oqar-LAAR+NIQ-INNAQ<ental<deres<Absolut
oqalaarnerinnaat	oqar-LAAR+NIQ-INNAQ<flertal<Absolut
oqalaarnilik	oqar-LAAR+NIQ-LIK<ental<Absolut
oqalaarnilittut	oqar-LAAR+NIQ-LIK<ental<Aequalis
oqalaarniliat	oqar-LAAR+NIQ-LIK<ental<deres<Absolut
oqalaarnillit	oqar-LAAR+NIQ-LIK<flertal<Absolut
oqalaarnillit	oqar-LAAR+NIQ-LIK<flertal<Relativ
oqalaarnilinnut	oqar-LAAR+NIQ-LIK<Terminalis<flertal
oqalaarnerpassuit	oqar-LAAR+NIQ+PASSUAQ<flertal<Absolut
oqalaarnerpassuartut	oqar-LAAR+NIQ+PASSUAQ<flertal<Aequalis
oqalaarnerpassuarnut	oqar-LAAR+NIQ+PASSUAQ<flertal<Terminalis
oqarneq	oqar+NIQ<ental<Absolut
oqarnertut	oqar+NIQ<ental<Aequalis
oqarnerat	oqar+NIQ<ental<deres<Absolut
oqarnerit	oqar+NIQ<flertal<Absolut
oqarnerit	oqar+NIQ<flertal<Relativ
oqarnernut	oqar+NIQ<flertal<Terminalis
oqarnerinnaat	oqar+NIQ-INNAQ<ental<deres<Absolut
oqarnerinnarnut	oqar+NIQ-INNAQ<flertal<Terminalis
oqarnilik	oqar+NIQ-LIK<ental<Absolut
oqarnilittut	oqar+NIQ-LIK<ental<Aequalis
oqarniliat	oqar+NIQ-LIK<ental<deres<Absolut
oqarnillit	oqar+NIQ-LIK<flertal<Absolut
oqarnillit	oqar+NIQ-LIK<flertal<Relativ
oqarnilinnut	oqar+NIQ-LIK<Terminalis<flertal
oqarnerpassuit	oqar+NIQ+PASSUAQ<flertal<Absolut
oqarnerpassuartut	oqar+NIQ+PASSUAQ<flertal<Aequalis
oqarnerpassuarnut	oqar+NIQ+PASSUAQ<flertal<Terminalis
oqarsimavoq	oqar+SIMA<Indikativ<han
oqarsimaneq	oqar+SIMA+NIQ<ental<Absolut
oqarsimanerit	oqar+SIMA+NIQ<flertal<Absolut
oqarsimanerit	oqar+SIMA+NIQ<flertal<Relativ
oqarsimanerinnaq	oqar+SIMA+NIQ-INNAQ<ental<Absolut
oqarsimanerinnaat	oqar+SIMA+NIQ-INNAQ<ental<deres<Absolut
oqarsimanilik	oqar+SIMA+NIQ-LIK<ental<Absolut
oqarsimanillit	oqar+SIMA+NIQ-LIK<flertal<Absolut
oqarsimanillit	oqar+SIMA+NIQ-LIK<flertal<Relativ
oqarsimanilinnut	oqar+SIMA+NIQ-LIK<Terminalis<flertal
oqarsimanerpassuit	oqar+SIMA+NIQ+PASSUAQ<flertal<Absolut
oqarsimanerpassuartut	oqar+SIMA+NIQ+PASSUAQ<flertal<Aequalis
pivaa	pi<Indikativ<HanHam
pilaarpaa	pi-LAAR<Indikativ<HanHam
pisimavaa	pi+SIMA<Indikativ<HanHam
qarasaasiaq	qarasaasiaq<ental<Absolut
qarasaasiatut	qarasaasiaq<ental<Aequalis
qarasaasiaat	qarasaasiaq<ental<deres<Absolut
qarasaasiaannaq	qarasaasiaq-INNAQ<ental<Absolut
qarasaasiaannartut	qarasaasiaq-INNAQ<ental<Aequalis
qarasaasiaannaat	qarasaasiaq-INNAQ<ental<deres<Absolut
qarasaasiaannaat	qarasaasiaq-INNAQ<flertal<Absolut
qarasaasiaannaat	qarasaasiaq-INNAQ<flertal<Relativ
qarasaasiaannarnut	qarasaasiaq-INNAQ<flertal<Terminalis
qarasaasialik	qarasaasiaq-LIK<ental<Absolut
qarasaasialittut	qarasaasiaq-LIK<ental<Aequalis
qarasaasialiat	qarasaasiaq-LIK<ental<deres<Absolut
qarasaasiallit	qarasaasiaq-LIK<flertal<Absolut
qarasaasiallit	qarasaasiaq-LIK<flertal<Relativ
qarasaasialinnut	qarasaasiaq-LIK<Terminalis<flertal
qarasaasiarpassuit	qarasaasiaq+PASSUAQ<flertal<Absolut
qarasaasiarpassuartut	qarasaasiaq+PASSUAQ<flertal<Aequalis
qarasaasiarpassuarnut	qarasaasiaq+PASSUAQ<flertal<Terminalis
qarasaasianut	qarasaasiaq<Terminalis<flertal
sammisarivaa	sammisari<Indikativ<HanHam
sammisarilaarpaa	sammisari-LAAR<Indikativ<HanHam
sammisarisimavaa	sammisari+SIMA<Indikativ<HanHam
taamani	taamani<Partikel
tallimat	tallimat<Absolut
tallimatut	tallimat<Aequalis
tallimaat	tallimat<ental<deres<Absolut
tallimanut	tallimat<flertal<Terminalis
tallimaannaat	tallimat-INNAQ<flertal<Absolut
tallimaannartut	tallimat-INNAQ<flertal<Aequalis
tallimaannaat	tallimat-INNAQ<flertal<Relativ
tallimaannarnut	tallimat-INNAQ<flertal<Terminalis
tallimalik	tallimat-LIK<ental<Absolut
tallimalittut	tallimat-LIK<ental<Aequalis
tallimaliat	tallimat-LIK<ental<deres<Absolut
tallimaliit	tallimat-LIK<flertal<Absolut
tallimaliit	tallimat-LIK<flertal<Relativ
tallimalinnut	tallimat-LIK<flertal<Terminalis
ulloq	ulloq<ental<Absolut
ullutut	ulloq<ental<Aequalis
ulluat	ulloq<ental<deres<Absolut
ulluinnaq	ulloq-INNAQ<ental<Absolut
ulluinnartut	ulloq-INNAQ<ental<Aequalis
ulluinnaat	ulloq-INNAQ<ental<deres<Absolut
ulluinnaat	ulloq-INNAQ<flertal<Absolut
ulluinnaat	ulloq-INNAQ<flertal<Relativ
ulluinnarnut	ulloq-INNAQ<flertal<Terminalis
ullulik	ulloq-LIK<ental<Absolut
ullulittut	ulloq-LIK<ental<Aequalis
ulluliat	ulloq-LIK<ental<deres<Absolut
ullullit	ulloq-LIK<flertal<Absolut
ullullit	ulloq-LIK<flertal<Relativ
ullulinnut	ulloq-LIK<Terminalis<flertal
ullorpassuit	ulloq+PASSUAQ<flertal<Absolut
ullorpassuartut	ulloq+PASSUAQ<flertal<Aequalis
ullorpassuarnut	ulloq+PASSUAQ<flertal<Terminalis
ullunut	ulloq<Terminalis<flertal
ullumi	ullumi<Partikel
