aasaq	aasaq<ental<Absolut
soqutiginarunnaarmata	soqutiginar+GUNNAAR<Causativ<de
soqutiginarunnaarmataluunniit	soqutiginar+GUNNAAR<Causativ<de+LUUNNIIT
soqutiginarunnaaratta	soqutiginar+GUNNAAR<Causativ<vi
soqutiginarunnaarpoq	soqutiginar+GUNNAAR<Indikativ<han
soqutiginarunnaarporluunniit	soqutiginar+GUNNAAR<Indikativ<han+LUUNNIIT
soqutiginarusummata	soqutiginar+GUSUP<Causativ<de
soqutiginarusummataluunniit	soqutiginar+GUSUP<Causativ<de+LUUNNIIT
soqutiginarusummat	soqutiginar+GUSUP<Causativ<han
soqutiginarusummalluunniit	soqutiginar+GUSUP<Causativ<han+LUUNNIIT
soqutiginarusukkatta	soqutiginar+GUSUP<Causativ<vi
soqutiginarusukkattaluunniit	soqutiginar+GUSUP<Causativ<vi+LUUNNIIT
soqutiginarusuppoq	soqutiginar+GUSUP<Indikativ<han
soqutiginarpoq	soqutiginar<Indikativ<han
soqutiginarporluunniit	soqutiginar<Indikativ<han+LUUNNIIT
soqutiginarluarmata	soqutiginar+LUAR<Causativ<de
soqutiginarluaratta	soqutiginar+LUAR<Causativ<vi
soqutiginarluarattaluunniit	soqutiginar+LUAR<Causativ<vi+LUUNNIIT
soqutiginarluarpoq	soqutiginar+LUAR<Indikativ<han
soqutiginarluarporluunniit	soqutiginar+LUAR<Indikativ<han+LUUNNIIT
soqutiginavimmata	soqutiginar-VIP<Causativ<de
soqutiginavimmataluunniit	soqutiginar-VIP<Causativ<de+LUUNNIIT
soqutiginavimmat	soqutiginar-VIP<Causativ<han
soqutiginavimmalluunniit	soqutiginar-VIP<Causativ<han+LUUNNIIT
soqutiginavikkatta	soqutiginar-VIP<Causativ<vi
soqutiginavikkattaluunniit	soqutiginar-VIP<Causativ<vi+LUUNNIIT
soqutiginavippoq	soqutiginar-VIP<Indikativ<han
soqutiginavipporluunniit	soqutiginar-VIP<Indikativ<han+LUUNNIIT
suliaq	suliaq<ental<Absolut
suliarluunniit	suliaq<ental<Absolut+LUUNNIIT
suliakkut	suliaq<ental<Vialis
suliakkulluunniit	suliaq<ental<Vialis+LUUNNIIT
suliama	suliaq<flertal<min>Relativ
suliamaluunniit	suliaq<flertal<min>Relativ+LUUNNIIT
suliakkut	suliaq-KKUT<flertal<Absolut
suliakkulluunniit	suliaq-KKUT<flertal<Absolut+LUUNNIIT
suliarsiormat	suliaq+SIUR<Causativ<han
suliarsiormalluunniit	suliaq+SIUR<Causativ<han+LUUNNIIT
suliarsioratta	suliaq+SIUR<Causativ<vi
suliarsiorunnaarmat	suliaq+SIUR+GUNNAAR<Causativ<han
suliarsiorunnaaratta	suliaq+SIUR+GUNNAAR<Causativ<vi
suliarsiorunnaarpoq	suliaq+SIUR+GUNNAAR<Indikativ<han
suliarsiorusuppoq	suliaq+SIUR+GUSUP<Indikativ<han
suliarsiorpoq	suliaq+SIUR<Indikativ<han
suliarsiorluarmat	suliaq+SIUR+LUAR<Causativ<han
suliarsiuimmalluunniit	suliaq+SIUR-VIP<Causativ<han+LUUNNIIT
suliarsiuikkatta	suliaq+SIUR-VIP<Causativ<vi
suliarsiuikkattaluunniit	suliaq+SIUR-VIP<Causativ<vi+LUUNNIIT
suliarsiuippoq	suliaq+SIUR-VIP<Indikativ<han
suliartaarmat	suliaq+TAAR<Causativ<han
suliartaarattaluunniit	suliaq+TAAR<Causativ<vi+LUUNNIIT
suliartaarunnaaratta	suliaq+TAAR+GUNNAAR<Causativ<vi
suliartaarunnaarattaluunniit	suliaq+TAAR+GUNNAAR<Causativ<vi+LUUNNIIT
suliartaarusummalluunniit	suliaq+TAAR+GUSUP<Causativ<han+LUUNNIIT
suliartaarpoq	suliaq+TAAR<Indikativ<han
suliartaarluarmata	suliaq+TAAR+LUAR<Causativ<de
suliartaavimmata	suliaq+TAAR-VIP<Causativ<de
suliartaavimmataluunniit	suliaq+TAAR-VIP<Causativ<de+LUUNNIIT
suliartaavimmat	suliaq+TAAR-VIP<Causativ<han
suliartaavimmalluunniit	suliaq+TAAR-VIP<Causativ<han+LUUNNIIT
suliartaavikkatta	suliaq+TAAR-VIP<Causativ<vi
suliartaavippoq	suliaq+TAAR-VIP<Indikativ<han
suliartaavipporluunniit	suliaq+TAAR-VIP<Indikativ<han+LUUNNIIT
suna	suna<Pronomen<Absolut<ental
sunaluunniit	suna<Pronomen<Absolut<ental+LUUNNIIT
sungiukkunnaarpat	sungiup+GUNNAAR<Indikativ<DuHam
sungiukkunnaarpalluunniit	sungiup+GUNNAAR<Indikativ<DuHam+LUUNNIIT
sungiukkunnaarpaa	sungiup+GUNNAAR<Indikativ<HanHam
sungiukkunnaarlaraluunniit	sungiup+GUNNAAR<Optativ<JegHam+LUUNNIIT
sungiukkusuppat	sungiup+GUSUP<Indikativ<DuHam
sungiukkusuppalluunniit	sungiup+GUSUP<Indikativ<DuHam+LUUNNIIT
sungiuppat	sungiup<Indikativ<DuHam
sungiuppalluunniit	sungiup<Indikativ<DuHam+LUUNNIIT
sungiuppaa	sungiup<Indikativ<HanHam
sungiuppaaluunniit	sungiup<Indikativ<HanHam+LUUNNIIT
sungiulluarpalluunniit	sungiup+LUAR<Indikativ<DuHam+LUUNNIIT
sungiulluarpaa	sungiup+LUAR<Indikativ<HanHam
sungiulluarpaaluunniit	sungiup+LUAR<Indikativ<HanHam+LUUNNIIT
sungiulluarlara	sungiup+LUAR<Optativ<JegHam
sungiulluarlaraluunniit	sungiup+LUAR<Optativ<JegHam+LUUNNIIT
sungiullara	sungiup<Optativ<JegHam
sungiullaraluunniit	sungiup<Optativ<JegHam+LUUNNIIT
sungiutivippalluunniit	sungiup-VIP<Indikativ<DuHam+LUUNNIIT
sungiutivippaa	sungiup-VIP<Indikativ<HanHam
sungiutivippaaluunniit	sungiup-VIP<Indikativ<HanHam+LUUNNIIT
sungiutivillara	sungiup-VIP<Optativ<JegHam
sungiutivillaraluunniit	sungiup-VIP<Optativ<JegHam+LUUNNIIT
taakku	taakku<Pronomen<flertal<Absolut
taakkuluunniit	taakku<Pronomen<flertal<Absolut+LUUNNIIT
taamaammata	taamaap<Causativ<de
taamaammalluunniit	taamaap<Causativ<han+LUUNNIIT
taamaappoq	taamaap<Indikativ<han
taamaalluarpoq	taamaap+LUAR<Indikativ<han
taamaavimmata	taamaap-VIP<Causativ<de
taamaavimmalluunniit	taamaap-VIP<Causativ<han+LUUNNIIT
taama	taama<Partikel
taamaluunniit	taama<Partikel+LUUNNIIT
takujunnaarpalluunniit	taku+GUNNAAR<Indikativ<DuHam+LUUNNIIT
takujunnaarlaraluunniit	taku+GUNNAAR<Optativ<JegHam+LUUNNIIT
takorusuppat	taku+GUSUP<Indikativ<DuHam
takorusuppalluunniit	taku+GUSUP<Indikativ<DuHam+LUUNNIIT
takorusuppaa	taku+GUSUP<Indikativ<HanHam
takorusullara	taku+GUSUP<Optativ<JegHam
takorusullaraluunniit	taku+GUSUP<Optativ<JegHam+LUUNNIIT
takuat	taku<Indikativ<DuHam
takualluunniit	taku<Indikativ<DuHam+LUUNNIIT
takuaa	taku<Indikativ<HanHam
takulluarlara	taku+LUAR<Optativ<JegHam
takulara	taku<Optativ<JegHam
takularaluunniit	taku<Optativ<JegHam+LUUNNIIT
takuippalluunniit	taku-VIP<Indikativ<DuHam+LUUNNIIT
takuippaa	taku-VIP<Indikativ<HanHam
takuippaaluunniit	taku-VIP<Indikativ<HanHam+LUUNNIIT
takuillara	taku-VIP<Optativ<JegHam
tamanna	tamanna<Pronomen<Absolut<ental
tamannaluunniit	tamanna<Pronomen<Absolut<ental+LUUNNIIT
tikikkunnaarpat	tikip+GUNNAAR<Indikativ<DuHam
tikikkunnaarpalluunniit	tikip+GUNNAAR<Indikativ<DuHam+LUUNNIIT
tikikkunnaarpaa	tikip+GUNNAAR<Indikativ<HanHam
tikikkunnaarpaaluunniit	tikip+GUNNAAR<Indikativ<HanHam+LUUNNIIT
tikikkunnaarlara	tikip+GUNNAAR<Optativ<JegHam
tikikkunnaarlaraluunniit	tikip+GUNNAAR<Optativ<JegHam+LUUNNIIT
tikikkusuppat	tikip+GUSUP<Indikativ<DuHam
tikikkusuppalluunniit	tikip+GUSUP<Indikativ<DuHam+LUUNNIIT
tikikkusuppaa	tikip+GUSUP<Indikativ<HanHam
tikikkusuppaaluunniit	tikip+GUSUP<Indikativ<HanHam+LUUNNIIT
tikikkusullara	tikip+GUSUP<Optativ<JegHam
tikikkusullaraluunniit	tikip+GUSUP<Optativ<JegHam+LUUNNIIT
tikippat	tikip<Indikativ<DuHam
tikippalluunniit	tikip<Indikativ<DuHam+LUUNNIIT
tikippaa	tikip<Indikativ<HanHam
tikippaaluunniit	tikip<Indikativ<HanHam+LUUNNIIT
tikilluarpat	tikip+LUAR<Indikativ<DuHam
tikilluarpalluunniit	tikip+LUAR<Indikativ<DuHam+LUUNNIIT
tikilluarpaa	tikip+LUAR<Indikativ<HanHam
tikilluarpaaluunniit	tikip+LUAR<Indikativ<HanHam+LUUNNIIT
tikilluarlara	tikip+LUAR<Optativ<JegHam
tikilluarlaraluunniit	tikip+LUAR<Optativ<JegHam+LUUNNIIT
tikillara	tikip<Optativ<JegHam
tikillaraluunniit	tikip<Optativ<JegHam+LUUNNIIT
tikivippat	tikip-VIP<Indikativ<DuHam
tikivippalluunniit	tikip-VIP<Indikativ<DuHam+LUUNNIIT
tikivippaa	tikip-VIP<Indikativ<HanHam
tikivippaaluunniit	tikip-VIP<Indikativ<HanHam+LUUNNIIT
tikivillara	tikip-VIP<Optativ<JegHam
tikivillaraluunniit	tikip-VIP<Optativ<JegHam+LUUNNIIT
tusarunnaarpat	tusar+GUNNAAR<Indikativ<DuHam
tusarunnaarpalluunniit	tusar+GUNNAAR<Indikativ<DuHam+LUUNNIIT
tusarunnaarpaa	tusar+GUNNAAR<Indikativ<HanHam
tusarunnaarpaaluunniit	tusar+GUNNAAR<Indikativ<HanHam+LUUNNIIT
tusarunnaarlara	tusar+GUNNAAR<Optativ<JegHam
tusarunnaarlaraluunniit	tusar+GUNNAAR<Optativ<JegHam+LUUNNIIT
tusarusuppat	tusar+GUSUP<Indikativ<DuHam
tusarusuppalluunniit	tusar+GUSUP<Indikativ<DuHam+LUUNNIIT
tusarusuppaa	tusar+GUSUP<Indikativ<HanHam
tusarusuppaaluunniit	tusar+GUSUP<Indikativ<HanHam+LUUNNIIT
tusarusullara	tusar+GUSUP<Optativ<JegHam
tusarusullaraluunniit	tusar+GUSUP<Optativ<JegHam+LUUNNIIT
tusarpat	tusar<Indikativ<DuHam
tusarpalluunniit	tusar<Indikativ<DuHam+LUUNNIIT
tusarpaa	tusar<Indikativ<HanHam
tusarpaaluunniit	tusar<Indikativ<HanHam+LUUNNIIT
tusarluarpat	tusar+LUAR<Indikativ<DuHam
tusarluarpalluunniit	tusar+LUAR<Indikativ<DuHam+LUUNNIIT
tusarluarpaa	tusar+LUAR<Indikativ<HanHam
tusarluarlara	tusar+LUAR<Optativ<JegHam
tusarluarlaraluunniit	tusar+LUAR<Optativ<JegHam+LUUNNIIT
tusarlaraluunniit	tusar<Optativ<JegHam+LUUNNIIT
tusavippat	tusar-VIP<Indikativ<DuHam
tusavippalluunniit	tusar-VIP<Indikativ<DuHam+LUUNNIIT
tusavippaa	tusar-VIP<Indikativ<HanHam
tusavippaaluunniit	tusar-VIP<Indikativ<HanHam+LUUNNIIT
tusavillara	tusar-VIP<Optativ<JegHam
tusavillaraluunniit	tusar-VIP<Optativ<JegHam+LUUNNIIT
uani	uani<Partikel
uaniluunniit	uani<Partikel+LUUNNIIT
ungasimmata	ungasip<Causativ<de
ungasimmataluunniit	ungasip<Causativ<de+LUUNNIIT
ungasimmat	ungasip<Causativ<han
ungasimmalluunniit	ungasip<Causativ<han+LUUNNIIT
ungasikkatta	ungasip<Causativ<vi
ungasikkattaluunniit	ungasip<Causativ<vi+LUUNNIIT
ungasikkunnaarmata	ungasip+GUNNAAR<Causativ<de
ungasikkunnaaratta	ungasip+GUNNAAR<Causativ<vi
ungasikkunnaarattaluunniit	ungasip+GUNNAAR<Causativ<vi+LUUNNIIT
ungasikkunnaarpoq	ungasip+GUNNAAR<Indikativ<han
ungasikkunnaarporluunniit	ungasip+GUNNAAR<Indikativ<han+LUUNNIIT
ungasikkusummata	ungasip+GUSUP<Causativ<de
ungasikkusuppoq	ungasip+GUSUP<Indikativ<han
ungasikkusupporluunniit	ungasip+GUSUP<Indikativ<han+LUUNNIIT
ungasippoq	ungasip<Indikativ<han
ungasipporluunniit	ungasip<Indikativ<han+LUUNNIIT
ungasilluarmata	ungasip+LUAR<Causativ<de
ungasilluarmataluunniit	ungasip+LUAR<Causativ<de+LUUNNIIT
ungasilluarmat	ungasip+LUAR<Causativ<han
ungasilluarmalluunniit	ungasip+LUAR<Causativ<han+LUUNNIIT
ungasilluaratta	ungasip+LUAR<Causativ<vi
ungasilluarattaluunniit	ungasip+LUAR<Causativ<vi+LUUNNIIT
ungasilluarpoq	ungasip+LUAR<Indikativ<han
ungasilluarporluunniit	ungasip+LUAR<Indikativ<han+LUUNNIIT
ungasitsigimmata	ungasip+TIGӘ<Causativ<de
ungasitsigimmat	ungasip+TIGӘ<Causativ<han
ungasitsigimmalluunniit	ungasip+TIGӘ<Causativ<han+LUUNNIIT
ungasitsigigatta	ungasip+TIGӘ<Causativ<vi
ungasitsigigattaluunniit	ungasip+TIGӘ<Causativ<vi+LUUNNIIT
ungasitsigivoq	ungasip+TIGӘ<Indikativ<han
ungasitsigivorluunniit	ungasip+TIGӘ<Indikativ<han+LUUNNIIT
ungasitsigisorluunniit	ungasip+TIGӘ+TUQ<ental<Absolut+LUUNNIIT
ungasitsigisumaluunniit	ungasip+TIGӘ+TUQ<flertal<min>Relativ+LUUNNIIT
ungasitsigisukkulluunniit	ungasip+TIGӘ+TUQ-KKUT<flertal<Absolut+LUUNNIIT
ungasitsigisorsiorunnaarmalluunniit	ungasip+TIGӘ+TUQ+SIUR+GUNNAAR<Causativ<han+LUUNNIIT
ungasitsigisorsiorpoq	ungasip+TIGӘ+TUQ+SIUR<Indikativ<han
ungasitsigisorsiuimmat	ungasip+TIGӘ+TUQ+SIUR-VIP<Causativ<han
ungasitsigisortaarunnaarporluunniit	ungasip+TIGӘ+TUQ+TAAR+GUNNAAR<Indikativ<han+LUUNNIIT
ungasitsigisortaarluarmalluunniit	ungasip+TIGӘ+TUQ+TAAR+LUAR<Causativ<han+LUUNNIIT
ungasitsigisortaavikkattaluunniit	ungasip+TIGӘ+TUQ+TAAR-VIP<Causativ<vi+LUUNNIIT
ungasivimmata	ungasip-VIP<Causativ<de
ungasivimmalluunniit	ungasip-VIP<Causativ<han+LUUNNIIT
ungasivikkatta	ungasip-VIP<Causativ<vi
ungasivikkattaluunniit	ungasip-VIP<Causativ<vi+LUUNNIIT
ungasivippoq	ungasip-VIP<Indikativ<han
ungasivipporluunniit	ungasip-VIP<Indikativ<han+LUUNNIIT
upernaaq	upernaaq<ental<Absolut
upernaarluunniit	upernaaq<ental<Absolut+LUUNNIIT
upernaakkut	upernaaq<ental<Vialis
upernaakkulluunniit	upernaaq<ental<Vialis+LUUNNIIT
upernaama	upernaaq<flertal<min>Relativ
upernaamaluunniit	upernaaq<flertal<min>Relativ+LUUNNIIT
upernaakkut	upernaaq-KKUT<flertal<Absolut
upernaakkulluunniit	upernaaq-KKUT<flertal<Absolut+LUUNNIIT
upernaarsiormalluunniit	upernaaq+SIUR<Causativ<han+LUUNNIIT
upernaarsioratta	upernaaq+SIUR<Causativ<vi
upernaarsiorattaluunniit	upernaaq+SIUR<Causativ<vi+LUUNNIIT
upernaarsiorunnaarmataluunniit	upernaaq+SIUR+GUNNAAR<Causativ<de+LUUNNIIT
upernaarsiorunnaarmalluunniit	upernaaq+SIUR+GUNNAAR<Causativ<han+LUUNNIIT
upernaarsiorunnaarattaluunniit	upernaaq+SIUR+GUNNAAR<Causativ<vi+LUUNNIIT
upernaarsiorunnaarporluunniit	upernaaq+SIUR+GUNNAAR<Indikativ<han+LUUNNIIT
upernaarsiorusukkatta	upernaaq+SIUR+GUSUP<Causativ<vi
upernaarsiorusukkattaluunniit	upernaaq+SIUR+GUSUP<Causativ<vi+LUUNNIIT
upernaarsiorusuppoq	upernaaq+SIUR+GUSUP<Indikativ<han
upernaarsiorpoq	upernaaq+SIUR<Indikativ<han
upernaarsiorporluunniit	upernaaq+SIUR<Indikativ<han+LUUNNIIT
upernaarsiorluarmalluunniit	upernaaq+SIUR+LUAR<Causativ<han+LUUNNIIT
upernaarsiorluarattaluunniit	upernaaq+SIUR+LUAR<Causativ<vi+LUUNNIIT
upernaarsiorluarporluunniit	upernaaq+SIUR+LUAR<Indikativ<han+LUUNNIIT
upernaarsiuimmataluunniit	upernaaq+SIUR-VIP<Causativ<de+LUUNNIIT
upernaarsiuimmalluunniit	upernaaq+SIUR-VIP<Causativ<han+LUUNNIIT
upernaarsiuikkatta	upernaaq+SIUR-VIP<Causativ<vi
upernaarsiuikkattaluunniit	upernaaq+SIUR-VIP<Causativ<vi+LUUNNIIT
upernaarsiuippoq	upernaaq+SIUR-VIP<Indikativ<han
upernaarsiuipporluunniit	upernaaq+SIUR-VIP<Indikativ<han+LUUNNIIT
upernaartaarattaluunniit	upernaaq+TAAR<Causativ<vi+LUUNNIIT
upernaartaarunnaarmata	upernaaq+TAAR+GUNNAAR<Causativ<de
upernaartaarunnaarmat	upernaaq+TAAR+GUNNAAR<Causativ<han
upernaartaarunnaaratta	upernaaq+TAAR+GUNNAAR<Causativ<vi
upernaartaarunnaarpoq	upernaaq+TAAR+GUNNAAR<Indikativ<han
upernaartaarusummataluunniit	upernaaq+TAAR+GUSUP<Causativ<de+LUUNNIIT
upernaartaarusummalluunniit	upernaaq+TAAR+GUSUP<Causativ<han+LUUNNIIT
upernaartaarusukkatta	upernaaq+TAAR+GUSUP<Causativ<vi
upernaartaarusukkattaluunniit	upernaaq+TAAR+GUSUP<Causativ<vi+LUUNNIIT
upernaartaarusuppoq	upernaaq+TAAR+GUSUP<Indikativ<han
upernaartaarusupporluunniit	upernaaq+TAAR+GUSUP<Indikativ<han+LUUNNIIT
upernaartaarpoq	upernaaq+TAAR<Indikativ<han
upernaartaarporluunniit	upernaaq+TAAR<Indikativ<han+LUUNNIIT
upernaartaarluarmata	upernaaq+TAAR+LUAR<Causativ<de
upernaartaarluarpoq	upernaaq+TAAR+LUAR<Indikativ<han
upernaartaavimmata	upernaaq+TAAR-VIP<Causativ<de
upernaartaavimmataluunniit	upernaaq+TAAR-VIP<Causativ<de+LUUNNIIT
upernaartaavimmat	upernaaq+TAAR-VIP<Causativ<han
upernaartaavikkatta	upernaaq+TAAR-VIP<Causativ<vi
upernaartaavikkattaluunniit	upernaaq+TAAR-VIP<Causativ<vi+LUUNNIIT
upernaartaavippoq	upernaaq+TAAR-VIP<Indikativ<han
upernaartaavipporluunniit	upernaaq+TAAR-VIP<Indikativ<han+LUUNNIIT
