aasaq	aasaq<ental<Absolut
ikiortikkut	ikiurtә-KKUT<flertal<Absolut
ikiortikkulluunniit	ikiurtә-KKUT<flertal<Absolut+LUUNNIIT
ikiortisiormata	ikiurtә+SIUR<Causativ<de
ikiortisiormalluunniit	ikiurtә+SIUR<Causativ<han+LUUNNIIT
ikiortisioratta	ikiurtә+SIUR<Causativ<vi
ikiortisiorattaluunniit	ikiurtә+SIUR<Causativ<vi+LUUNNIIT
ikiortisiorunnaaratta	ikiurtә+SIUR+GUNNAAR<Causativ<vi
ikiortisiorunnaarpoq	ikiurtә+SIUR+GUNNAAR<Indikativ<han
ikiortisiorusummalluunniit	ikiurtә+SIUR+GUSUP<Causativ<han+LUUNNIIT
ikiortisiorusuppoq	ikiurtә+SIUR+GUSUP<Indikativ<han
ikiortisiorusupporluunniit	ikiurtә+SIUR+GUSUP<Indikativ<han+LUUNNIIT
ikiortisiorluarporluunniit	ikiurtә+SIUR+LUAR<Indikativ<han+LUUNNIIT
ikiortisiuimmata	ikiurtә+SIUR-VIP<Causativ<de
ikiortisiuimmataluunniit	ikiurtә+SIUR-VIP<Causativ<de+LUUNNIIT
ikiortisiuimmalluunniit	ikiurtә+SIUR-VIP<Causativ<han+LUUNNIIT
ikiortisiuikkatta	ikiurtә+SIUR-VIP<Causativ<vi
ikiortisiuikkattaluunniit	ikiurtә+SIUR-VIP<Causativ<vi+LUUNNIIT
ikiortisiuippoq	ikiurtә+SIUR-VIP<Indikativ<han
ikiortisiuipporluunniit	ikiurtә+SIUR-VIP<Indikativ<han+LUUNNIIT
ikiortitaaratta	ikiurtә+TAAR<Causativ<vi
ikiortitaarunnaarmalluunniit	ikiurtә+TAAR+GUNNAAR<Causativ<han+LUUNNIIT
ikiortitaarunnaarattaluunniit	ikiurtә+TAAR+GUNNAAR<Causativ<vi+LUUNNIIT
ikiortitaarunnaarporluunniit	ikiurtә+TAAR+GUNNAAR<Indikativ<han+LUUNNIIT
ikiortitaarusummata	ikiurtә+TAAR+GUSUP<Causativ<de
ikiortitaarusukkattaluunniit	ikiurtә+TAAR+GUSUP<Causativ<vi+LUUNNIIT
ikiortitaarpoq	ikiurtә+TAAR<Indikativ<han
ikiortitaarluaratta	ikiurtә+TAAR+LUAR<Causativ<vi
ikiortitaarluarporluunniit	ikiurtә+TAAR+LUAR<Indikativ<han+LUUNNIIT
ikiortitaavimmataluunniit	ikiurtә+TAAR-VIP<Causativ<de+LUUNNIIT
ikiortitaavimmat	ikiurtә+TAAR-VIP<Causativ<han
ikiortitaavimmalluunniit	ikiurtә+TAAR-VIP<Causativ<han+LUUNNIIT
ikiortitaavikkatta	ikiurtә+TAAR-VIP<Causativ<vi
ikiortitaavipporluunniit	ikiurtә+TAAR-VIP<Indikativ<han+LUUNNIIT
illoqarfik	illoqarfik<ental<Absolut
illoqarfilluunniit	illoqarfik<ental<Absolut+LUUNNIIT
illoqarfikkut	illoqarfik<ental<Vialis
illoqarfikkulluunniit	illoqarfik<ental<Vialis+LUUNNIIT
illoqarfima	illoqarfik<flertal<min>Relativ
illoqarfimaluunniit	illoqarfik<flertal<min>Relativ+LUUNNIIT
illoqarfikkut	illoqarfik-KKUT<flertal<Absolut
