aallaratta	aallar<Causativ<vi
Maniitsormioqarpoq	Maniitsoq+MIU-QAR<Indikativ<han
Maniitsormioqarpa	Maniitsoq+MIU-QAR<Interrogativ<han
Maniitsormioqarneq	Maniitsoq+MIU-QAR+NIQ<ental<Absolut
Maniitsormioqartoq	Maniitsoq+MIU-QAR+TUQ<ental<Absolut
Maniitsormioqartorli	Maniitsoq+MIU-QAR+TUQ<ental<Absolut+LI
Maniitsormioqartorluunniit	Maniitsoq+MIU-QAR+TUQ<ental<Absolut+LUUNNIIT
Maniitsormioqartoruna	Maniitsoq+MIU-QAR+TUQ<ental<Absolut+UNA
Maniitsormiuugaluarnerpaaqaqqaarnerpaarli	Maniitsoq+MIU-U+GALUAR+NIRPAAQ-QAR-QQAAR+NIRPAAQ<ental<Absolut+LI
Maniitsormioorusullutilli	Maniitsoq+MIU-U+GUSUP<Ledsagemåde<de_selv+LI
Maniitsormiuuinnartussaagaluinuna	Maniitsoq+MIU-U-INNAR+TUQ-SSAQ=U=GALUAQ<flertal<Absolut+UNA
Maniitsormiuulaartarlutilli	Maniitsoq+MIU-U-LAAR=TAR<Ledsagemåde<de_selv+LI
Maniitsormiuulertussalereerparaluunniit	Maniitsoq+MIU-U-LIR+TUQ-SSAQ-LIR_nv-RIIR<Indikativ<JegHam+LUUNNIIT
Maniitsormiooqqullugu	Maniitsoq+MIU-U-QQU<Ledsagemåde<ham
Maniitsormiooqigattali	Maniitsoq+MIU-U-QӘ<Causativ<vi+LI
Maniitsormiooriarlutik	Maniitsoq+MIU-U-RIAR<Ledsagemåde<de_selv
Maniitsormiooreermata	Maniitsoq+MIU-U-RIIR<Causativ<de
Maniitsormiooreertunga	Maniitsoq+MIU-U-RIIR<Participium<jeg
Maniitsormiuussavisi	Maniitsoq+MIU-U-SSA<Interrogativ<I
Maniitsormiuussasorli	Maniitsoq+MIU-U-SSA<Participium<han+LI
Maniitsormiuusarput	Maniitsoq+MIU-U+TAR<Indikativ<de
Maniitsormiuuallaarpunga	Maniitsoq+MIU-U+VALLAAR<Indikativ<jeg
Maniitsormiuuallaarnertulli	Maniitsoq+MIU-U+VALLAAR+NIQ<ental<Aequalis+LI
Maniitsumut	Maniitsoq<Terminalis
Maniitsumukareermatalu	Maniitsoq<Terminalis-KAR-RIIR<Causativ<de+LU
Maniitsumukassagaluarnerluunniit	Maniitsoq<Terminalis-KAR-SSA=GALUAR+NIQ<ental<Absolut+LUUNNIIT
Maniitsumukassallutik	Maniitsoq<Terminalis-KAR-SSA<Ledsagemåde<de_selv
Maniitsumukavikkatta	Maniitsoq<Terminalis-KAR-VIP<Causativ<vi
Maniitsumukavinneruna	Maniitsoq<Terminalis-KAR-VIP+NIQ<ental<Absolut+UNA
Maniitsumulli	Maniitsoq<Terminalis+LI
Maniitsumullu	Maniitsoq<Terminalis+LU
Maniitsumulluunniit	Maniitsoq<Terminalis+LUUNNIIT
Maniitsumununa	Maniitsoq<Terminalis+UNA
Maniitsukkut	Maniitsoq<Vialis
Maniitsukkulli	Maniitsoq<Vialis+LI
Maniitsukkulluunniit	Maniitsoq<Vialis+LUUNNIIT
Maniitsukkununa	Maniitsoq<Vialis+UNA
manna	manna<Pronomen<ental<Absolut
mannali	manna<Pronomen<ental<Absolut+LI
mannaluunniit	manna<Pronomen<ental<Absolut+LUUNNIIT
marluinnalerereertungali	marluk-INNAQ-LIRI-RIIR<Participium<jeg+LI
marlussaavisi	marluk-SSAQ-U<Interrogativ<I
marlulli	marluk<Talord<flertal<Absolut+LI
marlunullu	marluk<Talord<flertal<Terminalis+LU
marlunununa	marluk<Talord<flertal<Terminalis+UNA
marlulissama	marluliaq<ental<min<Relativ
marluliarujussuanneeqqaarneq	marluliaq-RUJUK=SUAQ<flertal<min<Lokalis+IP-QQAAR+NIQ<ental<Absolut
marluliassaagaluillu	marluliaq-SSAQ=U=GALUAQ<flertal<Absolut+LU
massakkut	massakkut<Partikel
massakkulli	massakkut<Partikel+LI
massakkullu	massakkut<Partikel+LU
massakkununa	massakkut<Partikel+UNA
meeqqerivittut	meeqqerivik<ental<Aequalis
meeqqerivittununa	meeqqerivik<ental<Aequalis+UNA
meeqqerivimmiivippugut	meeqqerivik<ental<Instrumentalis-IR-VIP<Indikativ<vi
meeqqerivimmeeqqaartoqanngilaq	meeqqerivik<ental<Lokalis+IP-QQAAR+TUQ-QAR-NNGIT<Indikativ<han
meeqqerivimmeeqqugakkuluunniit	meeqqerivik<ental<Lokalis+IP-QQU<Causativ<JegHam+LUUNNIIT
meeqqerivigaluunniit	meeqqerivik<ental<min<Absolut+LUUNNIIT
meeqqerivinneeqqullunga	meeqqerivik<flertal<Lokalis+IP-QQU<Ledsagemåde<mig
meeqqerivigiittununa	meeqqerivik+GIIT<flertal<Aequalis+UNA
meeqqerivigiviuk	meeqqerivik+GӘ<Interrogativ<DuHam
meeqqerivikoqalaartarpisi	meeqqerivik-KU-QAR-LAAR=TAR<Interrogativ<I
meeqqerivimmiunnguimmanuna	meeqqerivik+MIU-NNGUR-VIP<Causativ<han+UNA
meeqqerivippassuiluunniit	meeqqerivik+PASSUAQ<flertal<hans<Absolut+LUUNNIIT
meeqqerivippassuarni	meeqqerivik+PASSUAQ<flertal<Lokalis
meeqqeriveqaqisoq	meeqqerivik-QAR-QӘ<Participium<han
meeqqeriveqaqisoruna	meeqqerivik-QAR-QӘ<Participium<han+UNA
meeqqeriveqavipput	meeqqerivik-QAR-VIP<Indikativ<de
meeqqeriverujuleqalunga	meeqqerivik-RUJUK-LIR_nv-QӘ<Ledsagemåde<mig
meeqqeriverujussuattut	meeqqerivik-RUJUK=SUAQ<ental<deres<Aequalis
meeqqeriverujussui	meeqqerivik-RUJUK=SUAQ<flertal<deres<Absolut
meeqqeriviunerata	meeqqerivik-U+NIQ<ental<deres<Relativ
meeraq	meeraq<ental<Absolut
meeqqatullu	meeraq<ental<Aequalis+LU
meeqqatulluunniit	meeraq<ental<Aequalis+LUUNNIIT
meeraatalu	meeraq<ental<hans<Relativ+LU
meeqqama	meeraq<ental<min<Relativ
meeqqamalu	meeraq<ental<min<Relativ+LU
meeqqamaana	meeraq<ental<min<Relativ+UNA
meeqqamukartippiuk	meeraq<ental<Terminalis-KAR+TIP<Interrogativ<DuHam
meeqqamununa	meeraq<ental<Terminalis+UNA
meeqqakkullu	meeraq<ental<Vialis+LU
meeqqaneeqqummanga	meeraq<flertal<Instrumentalis-IR-QQU<Causativ<HanMig
meeqqaneeriarlutilluunniit	meeraq<flertal<Instrumentalis-IR-RIAR<Ledsagemåde<de_selv+LUUNNIIT
meeqqaneeriartumulli	meeraq<flertal<Instrumentalis-IR-RIAR+TUQ<ental<Terminalis+LI
meeqqaniissasulluunniit	meeraq<flertal<Instrumentalis-IR-SSA<Participium<de+LUUNNIIT
meeqqaninguna	meeraq<flertal<Instrumentalis+UNA
meeqqani	meeraq<flertal<Lokalis
meeqqaneeqqaarlutillu	meeraq<flertal<Lokalis+IP-QQAAR<Ledsagemåde<de_selv+LU
meeqqaneeqqulara	meeraq<flertal<Lokalis+IP-QQU<Optativ<JegHam
meeqqakkali	meeraq<flertal<min<Absolut+LI
meeqqanniluunniit	meeraq<flertal<min<Lokalis+LUUNNIIT
meeqqama	meeraq<flertal<min<Relativ
meeqqanullu	meeraq<flertal<Terminalis+LU
meerariilererusullutinguna	meeraq+GIIT-LIRI+GUSUP<Ledsagemåde<de_selv+UNA
meerariinngoqqutigilli	meeraq+GIIT-NNGUR-QQU<Imperativ<ViDem+LI
meerallilli	meeraq-LIK<flertal<Absolut+LI
meeralererusunnini	meeraq-LIRI+GUSUP+NIQ<ental<sin<Absolut
meeralerinngillallu	meeraq-LIRI-NNGIT<Indikativ<de+LU
meeralereqisunga	meeraq-LIRI-QӘ<Participium<jeg
meerarmioqarnerli	meeraq+MIU-QAR+NIQ<ental<Absolut+LI
meerarpassuanni	meeraq+PASSUAQ<flertal<min<Lokalis
meerarujussuattut	meeraq-RUJUK=SUAQ<ental<deres<Aequalis
meerarsiuinnarpisi	meeraq+SIUR-INNAR<Interrogativ<I
meerartaariartorujunneereertunga	meeraq+TAAR-RIAR+TUQ-RUJUK<ental<min<Lokalis+IP-RIIR<Participium<jeg
meerartaassavisi	meeraq+TAAR-SSA<Interrogativ<I
mittarfik	mittarfik<ental<Absolut
mittarfilli	mittarfik<ental<Absolut+LI
mittarfillu	mittarfik<ental<Absolut+LU
mittarfilluunniit	mittarfik<ental<Absolut+LUUNNIIT
mittarfittut	mittarfik<ental<Aequalis
mittarfittulli	mittarfik<ental<Aequalis+LI
mittarfimmeeriarninili	mittarfik<ental<Instrumentalis-IR-RIAR+NIQ<ental<sin<Absolut+LI
mittarfiga	mittarfik<ental<min<Absolut
mittarfigali	mittarfik<ental<min<Absolut+LI
mittarfinni	mittarfik<ental<sin<Absolut
mittarfinniuna	mittarfik<ental<sin<Absolut+UNA
mittarfimminik	mittarfik<ental<sin<Instrumentalis
mittarfimmununa	mittarfik<ental<Terminalis+UNA
mittarfinneeqqummangali	mittarfik<flertal<Lokalis+IP-QQU<Causativ<HanMig+LI
mittarfigiileqqutigilluunniit	mittarfik+GIIT-LIR_nv-QQU<Imperativ<ViDem+LUUNNIIT
mittarfiinnaavugut	mittarfik-INNAQ-U<Indikativ<vi
mittarfimmioqarpoq	mittarfik+MIU-QAR<Indikativ<han
mittarfippassuit	mittarfik+PASSUAQ<flertal<Absolut
mittarfippassui	mittarfik+PASSUAQ<flertal<hans<Absolut
mittarfippassuarneeqquaanuna	mittarfik+PASSUAQ<flertal<Instrumentalis-IR-QQU<Indikativ<DeHam+UNA
mittarfippassuarninguna	mittarfik+PASSUAQ<flertal<Instrumentalis+UNA
mittarfeqaannarnerpaarli	mittarfik-QAR-INNAR+NIRPAAQ<ental<Absolut+LI
mittarfeqalertulerereertoq	mittarfik-QAR-LIR+TUQ-LIRI-RIIR<Participium<han
mittarfeqanngifferujussuattununa	mittarfik-QAR-NNGIT+FIK-RUJUK=SUAQ<ental<deres<Aequalis+UNA
mittarfeqarnatinguna	mittarfik-QAR-NNGIT<Ledsagemåde<de_selv+UNA
mittarfeqariarnini	mittarfik-QAR-RIAR+NIQ<ental<sin<Absolut
mittarfeqareertut	mittarfik-QAR-RIIR<Participium<de
mittarfeqassagaluarferujussui	mittarfik-QAR-SSA=GALUAR+FIK-RUJUK=SUAQ<flertal<deres<Absolut
mittarfeqavillutik	mittarfik-QAR-VIP<Ledsagemåde<de_selv
mittarferujulli	mittarfik-RUJUK<ental<Absolut+LI
mittarferujulluunniit	mittarfik-RUJUK<ental<Absolut+LUUNNIIT
mittarferujua	mittarfik-RUJUK<ental<hans<Absolut
mittarferujugaluunniit	mittarfik-RUJUK<ental<min<Absolut+LUUNNIIT
mittarferujukkulli	mittarfik-RUJUK<ental<Vialis+LI
mittarferujussioreertoruna	mittarfik-RUJUK+SIUR-RIIR<Participium<han+UNA
mittarferujussuata	mittarfik-RUJUK=SUAQ<ental<deres<Relativ
mittarferujussua	mittarfik-RUJUK=SUAQ<ental<hans<Absolut
mittarferujussuarmiitsikkakku	mittarfik-RUJUK=SUAQ<ental<Lokalis+IP+TIP<Causativ<JegHam
mittarferujussuara	mittarfik-RUJUK=SUAQ<ental<min<Absolut
mittarferujussuanniilluinnarlutik	mittarfik-RUJUK=SUAQ<ental<min<Lokalis+IP+LUINNAR<Ledsagemåde<de_selv
mittarferujussuinuna	mittarfik-RUJUK=SUAQ<flertal<Absolut+UNA
mittarferujussui	mittarfik-RUJUK=SUAQ<flertal<deres<Absolut
mittarferujussui	mittarfik-RUJUK=SUAQ<flertal<hans<Absolut
mittarferujussuakka	mittarfik-RUJUK=SUAQ<flertal<min<Absolut
mittarferujussuamininguna	mittarfik-RUJUK=SUAQ<flertal<sin<Instrumentalis+UNA
mittarferujuuniarattali	mittarfik-RUJUK-U+NIAR<Causativ<vi+LI
mittarferujooqqaarneq	mittarfik-RUJUK-U-QQAAR+NIQ<ental<Absolut
mittarferujooqimmat	mittarfik-RUJUK-U-QӘ<Causativ<han
mittarferujooreertorujooqquiuk	mittarfik-RUJUK-U-RIIR+TUQ-RUJUK-U-QQU<Interrogativ<DuHam
mittarfissiuinnartunga	mittarfik+SIUR-INNAR<Participium<jeg
mittarfissiulaarnerpaanngoqqaarfeqaqqummanga	mittarfik+SIUR-LAAR+NIRPAAQ-NNGUR-QQAAR+FIK-QAR-QQU<Causativ<HanMig
mittarfissiussagamaluunniit	mittarfik+SIUR-SSA<Causativ<jeg+LUUNNIIT
mittarfissaqareertut	mittarfik-SSAQ-QAR-RIIR<Participium<de
mittarfittaalaartarpugulli	mittarfik+TAAR-LAAR=TAR<Indikativ<vi+LI
mittarfittaalaartarlutinguna	mittarfik+TAAR-LAAR=TAR<Ledsagemåde<de_selv+UNA
mittarfittaaqisungalu	mittarfik+TAAR-QӘ<Participium<jeg+LU
naammasserusuppara	naammassi+GUSUP<Indikativ<JegHam
naammassilerpaannga	naammassi-LIR<Indikativ<DeMig
naammassineqarpugununa	naammassi+NIQAR<Indikativ<vi+UNA
naammasseqquiuk	naammassi-QQU<Interrogativ<DuHam
naammasseqqulara	naammassi-QQU<Optativ<JegHam
naammassereerpaannga	naammassi-RIIR<Indikativ<DeMig
naammassereerpassili	naammassi-RIIR<Indikativ<JegJer+LI
naammassisarparput	naammassi+TAR<Indikativ<ViHam
naammassivallaarmanga	naammassi+VALLAAR<Causativ<HanMig
najakkununa	naja<ental<Vialis+UNA
najarpassui	naja+PASSUAQ<flertal<deres<Absolut
najarpassuaminillu	naja+PASSUAQ<flertal<sin<Instrumentalis+LU
najasiunngila	naja+SIUR-NNGIT<Interrogativ<han
najugaqartartunga	najugaqar+TAR<Participium<jeg
najukkamaana	najugaq<ental<min<Relativ+UNA
najukkamut	najugaq<ental<Terminalis
najukkamulli	najugaq<ental<Terminalis+LI
najugariivi	najugaq+GIIT<flertal<deres<Absolut
nakkarfeqassagaluarlutillu	nakkar+FIK-QAR-SSA=GALUAR<Ledsagemåde<de_selv+LU
nakkarpungaluunniit	nakkar<Indikativ<jeg+LUUNNIIT
nakkaqqaartunngoreerpugulli	nakkar-QQAAR+TUQ-NNGUR-RIIR<Indikativ<vi+LI
nakkarsimallutilli	nakkar+SIMA<Ledsagemåde<de_selv+LI
nakkavikkattali	nakkar-VIP<Causativ<vi+LI
nakkavippit	nakkar-VIP<Interrogativ<du
nakkavinnerpaarli	nakkar-VIP+NIRPAAQ<ental<Absolut+LI
naleqartitannguittulluunniit	naleqartitaq-NNGUR-VIP<Participium<de+LUUNNIIT
naleqartitarujussuit	naleqartitaq-RUJUK=SUAQ<flertal<Absolut
nalujartorpaanga	nalu+GIARTUR<Indikativ<HanMig
nalorusummangaana	nalu+GUSUP<Causativ<HanMig+UNA
naluinnartigillu	nalu-INNAR<Imperativ<ViDem+LU
nalullunga	nalu<Ledsagemåde<mig
naluallaanngilaannga	nalu+VALLAAR=NNGIT<Indikativ<DeMig
namminerli	nammineq<Adjektiv+LI
namminerluunniit	nammineq<Adjektiv+LUUNNIIT
nangeqilara	nangip-QӘ<Optativ<JegHam
nangeriarakku	nangip-RIAR<Causativ<JegHam
nangeriartigit	nangip-RIAR<Imperativ<ViDem
nangereerlunga	nangip-RIIR<Ledsagemåde<mig
nangitsillarali	nangip+TIP<Optativ<JegHam+LI
Nanortalik	Nanortalik<ental<Absolut
Nanortalilli	Nanortalik<ental<Absolut+LI
Nanortalillu	Nanortalik<ental<Absolut+LU
Nanortalinguna	Nanortalik<ental<Absolut+UNA
Nanortalimmilli	Nanortalik<Instrumentalis+LI
Nanortalimmillu	Nanortalik<Instrumentalis+LU
Nanortalimminguna	Nanortalik<Instrumentalis+UNA
Nanortalimmiillutik	Nanortalik<Lokalis+IP<Ledsagemåde<de_selv
Nanortalimmeeqqaarporuna	Nanortalik<Lokalis+IP-QQAAR<Indikativ<han+UNA
Nanortalimmeeqqaarlutik	Nanortalik<Lokalis+IP-QQAAR<Ledsagemåde<de_selv
Nanortalimmeereernerli	Nanortalik<Lokalis+IP-RIIR+NIQ<ental<Absolut+LI
Nanortalimmiuneeqqaarpoq	Nanortalik+MIU<flertal<Lokalis+IP-QQAAR<Indikativ<han
Nanortalimmiunilu	Nanortalik+MIU<flertal<Lokalis+LU
Nanortalimmioqarnerlu	Nanortalik+MIU-QAR+NIQ<ental<Absolut+LU
Nanortalimmioqartoq	Nanortalik+MIU-QAR+TUQ<ental<Absolut
Nanortalimmut	Nanortalik<Terminalis
Nanortalimmukanngilatit	Nanortalik<Terminalis-KAR-NNGIT<Interrogativ<du
Nanortalimmulluunniit	Nanortalik<Terminalis+LUUNNIIT
Nanortalimmununa	Nanortalik<Terminalis+UNA
Nanortalikkut	Nanortalik<Vialis
Nanortalikkulli	Nanortalik<Vialis+LI
Nanortalikkullu	Nanortalik<Vialis+LU
Nanortalikkununa	Nanortalik<Vialis+UNA
Narsaq	Narsaq<ental<Absolut
Narsarli	Narsaq<ental<Absolut+LI
Narsarlu	Narsaq<ental<Absolut+LU
Narsarluunniit	Narsaq<ental<Absolut+LUUNNIIT
Narsameeqqutigillu	Narsaq<Lokalis+IP-QQU<Imperativ<ViDem+LU
Narsamiissagaluarmata	Narsaq<Lokalis+IP-SSA=GALUAR<Causativ<de
Narsamiuna	Narsaq<Lokalis+UNA
Narsarmiuleriartornerpaaqalerferujussualuunniit	Narsaq+MIU-LIRI+GIARTUR+NIRPAAQ-QAR-LIR+FIK-RUJUK=SUAQ<ental<hans<Absolut+LUUNNIIT
Narsarmioqarpa	Narsaq+MIU-QAR<Interrogativ<han
Narsarmioqarneq	Narsaq+MIU-QAR+NIQ<ental<Absolut
Narsarmioqartoq	Narsaq+MIU-QAR+TUQ<ental<Absolut
Narsarmioqartoruna	Narsaq+MIU-QAR+TUQ<ental<Absolut+UNA
Narsarmiooqqaarnerpaatununa	Narsaq+MIU-U-QQAAR+NIRPAAQv<ental<Aequalis+UNA
Narsarmiooriartulereqqutiginuna	Narsaq+MIU-U-RIAR+TUQ-LIRI-QQU<Imperativ<ViDem+UNA
Narsarmiuutillara	Narsaq+MIU-U+TIP<Optativ<JegHam
Narsamukariartoqalaarpungaana	Narsaq<Terminalis-KAR-RIAR+TUQ-QAR-LAAR<Indikativ<jeg+UNA
Narsamukavippullu	Narsaq<Terminalis-KAR-VIP<Indikativ<de+LU
Narsamullu	Narsaq<Terminalis+LU
Narsamununa	Narsaq<Terminalis+UNA
Narsakkulli	Narsaq<Vialis+LI
Narsakkulluunniit	Narsaq<Vialis+LUUNNIIT
Narsarsuaq	Narsarsuaq<ental<Absolut
Narsarsuarminguna	Narsarsuaq<Instrumentalis+UNA
Narsarsuarmut	Narsarsuaq<Terminalis
Narsarsuakkulli	Narsarsuaq<Vialis+LI
Narsarsuakkulluunniit	Narsarsuaq<Vialis+LUUNNIIT
Narsarsuakkununa	Narsarsuaq<Vialis+UNA
nassiussaq	nassiussaq<ental<Absolut
nassiussarilaarlara	nassiussaq+GӘ-LAAR<Optativ<JegHam
nassiussannguaminilluunniit	nassiussaq-NNGUAQ<ental<sin<Instrumentalis+LUUNNIIT
nassiussaqassagama	nassiussaq-QAR-SSA<Causativ<jeg
nassiussarsiunngiffissalilaartartigit	nassiussaq+SIUR-NNGIT+FIK-SSAQ-LIR_nv-LAAR=TAR<Imperativ<ViDem
nassuialaarlugulu	nassuiar-LAAR<Ledsagemåde<ham+LU
nassuialaartartigit	nassuiar-LAAR=TAR<Imperativ<ViDem
nassuialaartarlarali	nassuiar-LAAR=TAR<Optativ<JegHam+LI
nassuiassagaluarlungali	nassuiar-SSA=GALUAR<Ledsagemåde<mig+LI
nillerattalu	niller<Causativ<vi+LU
nillerferujussuanni	niller+FIK-RUJUK=SUAQ<flertal<min<Lokalis
nillerusuttussara	niller+GUSUP+TUQ-SSAQ<ental<min<Absolut
nilliinnarferujussui	niller-INNAR+FIK-RUJUK=SUAQ<flertal<hans<Absolut
nilliinnartungali	niller-INNAR<Participium<jeg+LI
nillilaarmalli	niller-LAAR<Causativ<han+LI
nillilaartunga	niller-LAAR<Participium<jeg
nillilaartarpit	niller-LAAR=TAR<Interrogativ<du
nillilaartarpisi	niller-LAAR=TAR<Interrogativ<I
nillilaartartorujooreerlutik	niller-LAAR=TAR+TUQ-RUJUK-U-RIIR<Ledsagemåde<de_selv
nillilaartussaq	niller-LAAR+TUQ-SSAQ<ental<Absolut
nillilerpit	niller-LIR<Interrogativ<du
nillilernerpaarli	niller-LIR+NIRPAAQ<ental<Absolut+LI
nillerluinnartooriarnini	niller+LUINNAR+TUQ-U-RIAR+NIQ<ental<sin<Absolut
nillinngilarli	niller-NNGIT<Indikativ<han+LI
nilleqqaarfittununa	niller-QQAAR+FIK<ental<Aequalis+UNA
nilleqqaartukkununa	niller-QQAAR+TUQ<ental<Vialis+UNA
nilleqqaartoriilereriarmalli	niller-QQAAR+TUQ+GIIT-LIRI-RIAR<Causativ<han+LI
nilleqqutigit	niller-QQU<Imperativ<ViDem
nilleriarnerata	niller-RIAR+NIQ<ental<hans<Relativ
nilleriartora	niller-RIAR+TUQ<ental<min<Absolut
nillereermalli	niller-RIIR<Causativ<han+LI
nillissagaluarmata	niller-SSA=GALUAR<Causativ<de
nillissagaluarneq	niller-SSA=GALUAR+NIQ<ental<Absolut
nillissallutik	niller-SSA<Ledsagemåde<de_selv
nillivikkattalu	niller-VIP<Causativ<vi+LU
nillivinnerilluunniit	niller-VIP+NIQ<flertal<Relativ+LUUNNIIT
nipilersoraluarnini	nipilersor+GALUAR+NIQ<ental<sin<Absolut
nipilersuinnaramaluunniit	nipilersor-INNAR<Causativ<jeg+LUUNNIIT
nipilersuinnarninili	nipilersor-INNAR+NIQ<ental<sin<Absolut+LI
nipilersulaarmataana	nipilersor-LAAR<Causativ<de+UNA
nipilersulaartarniniluunniit	nipilersor-LAAR=TAR+NIQ<ental<sin<Absolut+LUUNNIIT
nipilersulaartarnerpaamiissasunga	nipilersor-LAAR=TAR+NIRPAAQ<ental<Instrumentalis-IR-SSA<Participium<jeg
nipilersulaartarnerpaartaassallutik	nipilersor-LAAR=TAR+NIRPAAQ+TAAR-SSA<Ledsagemåde<de_selv
nipilersulerfissiulaartarfileqitigillu	nipilersor-LIR+FIK+SIUR-LAAR=TAR+FIK-LIR_nv-QӘ<Imperativ<ViDem+LU
nipilersorluarpit	nipilersor+LUAR<Interrogativ<du
nipilersorluarlutilli	nipilersor+LUAR<Ledsagemåde<de_selv+LI
nipilersorluarnerillu	nipilersor+LUAR+NIQ<flertal<Relativ+LU
nipilersornikuuffeqaqqaartorli	nipilersor+NIKUU+FIK-QAR-QQAAR<Participium<han+LI
nipilersoqqutigillu	nipilersor-QQU<Imperativ<ViDem+LU
nipilersoriarfeqalaarpungaana	nipilersor-RIAR+FIK-QAR-LAAR<Indikativ<jeg+UNA
nipilersoreertulissaviuk	nipilersor-RIIR+TUQ-LIR_nv-SSA<Interrogativ<DuHam
nipilersussagaluarnerpaaqannginnini	nipilersor-SSA=GALUAR+NIRPAAQ-QAR-NNGIT+NIQ<ental<sin<Absolut
nipilersussaangaluunniit	nipilersor-SSA<Indikativ<jeg+LUUNNIIT
nipilersussasunga	nipilersor-SSA<Participium<jeg
nipilersuinnerpaaruna	nipilersor-VIP+NIRPAAQ<ental<Absolut+UNA
nuannarerusullungali	nuannarә+GUSUP<Ledsagemåde<mig+LI
nuannarisimasarmangaluunniit	nuannarә+SIMA=TAR<Causativ<HanMig+LUUNNIIT
nuannarissalluginuna	nuannarә-SSA<Ledsagemåde<dem+UNA
nuannarisariaqarakkulu	nuannarә+TARIAQAR<Causativ<JegHam+LU
nuannarisartigilli	nuannarә+TAR<Imperativ<ViDem+LI
nujaq	nujaq<ental<Absolut
nujanneeqqaartoq	nujaq<ental<min<Lokalis+IP-QQAAR<Participium<han
nutsama	nujaq<ental<min<Relativ
nutsakkaluunniit	nujaq<flertal<min<Absolut+LUUNNIIT
nutsanut	nujaq<flertal<Terminalis
nutsanukavikkattalu	nujaq<flertal<Terminalis-KAR-VIP<Causativ<vi+LU
nujartaalaartarneq	nujaq+TAAR-LAAR=TAR+NIQ<ental<Absolut
nukamioqarpa	nuka+MIU-QAR<Interrogativ<han
nukinneeqqularalu	nukik<ental<min<Lokalis+IP-QQU<Optativ<JegHam+LU
nukerujulli	nukik-RUJUK<ental<Absolut+LI
nukerujumma	nukik-RUJUK<ental<min<Relativ
nukerujussui	nukik-RUJUK=SUAQ<flertal<deres<Absolut
nukerujooqigatta	nukik-RUJUK-U-QӘ<Causativ<vi
nuliaq	nuliaq<ental<Absolut
nuliara	nuliaq<ental<min<Absolut
nuliaraluunniit	nuliaq<ental<min<Absolut+LUUNNIIT
nuliarpassuarneereertoqarporli	nuliaq+PASSUAQ<flertal<Instrumentalis-IR-RIIR+TUQ-QAR<Indikativ<han+LI
nuliarpassuaminik	nuliaq+PASSUAQ<flertal<sin<Instrumentalis
nuliartaaqigama	nuliaq+TAAR-QӘ<Causativ<jeg
nunameertimmangali	nuna<ental<Instrumentalis-IR+TIP<Causativ<HanMig+LI
nunagiilerisimagamali	nuna+GIIT-LIRI+SIMA<Causativ<jeg+LI
nunagivallaarlungaluunniit	nuna+GӘ+VALLAAR<Ledsagemåde<mig+LUUNNIIT
nunakkui	nuna-KKUT<flertal<hans<Absolut
nunarpassuartut	nuna+PASSUAQ<flertal<Aequalis
nunarpassui	nuna+PASSUAQ<flertal<hans<Absolut
nunarujussuiluunniit	nuna-RUJUK=SUAQ<flertal<deres<Absolut+LUUNNIIT
nutaanngussagaluarnerli	nutaaq-NNGUR-SSA=GALUAR+NIQ<ental<Absolut+LI
nutaaqaqqaarnerli	nutaaq-QAR-QQAAR+NIQ<ental<Absolut+LI
nutserisuniivipporuna	nutserisoq<flertal<Instrumentalis-IR-VIP<Indikativ<han+UNA
nutserisukooreerlutik	nutserisoq-KU-U-RIIR<Ledsagemåde<de_selv
nutserisussalerisussaagaluaminik	nutserisoq-SSAQ-LIRI+TUQ-SSAQ=U=GALUAQ<flertal<sin<Instrumentalis
nutserisussaagaluata	nutserisoq-SSAQ=U=GALUAQ<ental<hans<Relativ
Nuuk	Nuuk<ental<Absolut
Nuulli	Nuuk<ental<Absolut+LI
Nuullu	Nuuk<ental<Absolut+LU
Nuulluunniit	Nuuk<ental<Absolut+LUUNNIIT
Nuunguna	Nuuk<ental<Absolut+UNA
Nuummik	Nuuk<Instrumentalis
Nuummilli	Nuuk<Instrumentalis+LI
Nuumminguna	Nuuk<Instrumentalis+UNA
Nuummeeqqaarnerlu	Nuuk<Lokalis+IP-QQAAR+NIQ<ental<Absolut+LU
Nuummeeqqaartorlu	Nuuk<Lokalis+IP-QQAAR+TUQ<ental<Absolut+LU
Nuummeeqqualli	Nuuk<Lokalis+IP-QQU<Indikativ<DuHam+LI
Nuummeeqqullugu	Nuuk<Lokalis+IP-QQU<Ledsagemåde<ham
Nuummeeriarlutik	Nuuk<Lokalis+IP-RIAR<Ledsagemåde<de_selv
Nuummeeriartorujussualu	Nuuk<Lokalis+IP-RIAR+TUQ-RUJUK=SUAQ<ental<hans<Absolut+LU
Nuummeereermat	Nuuk<Lokalis+IP-RIIR<Causativ<han
Nuummeereerpit	Nuuk<Lokalis+IP-RIIR<Interrogativ<du
Nuummeereerlutilli	Nuuk<Lokalis+IP-RIIR<Ledsagemåde<de_selv+LI
Nuummiunngoqimmata	Nuuk+MIU-NNGUR-QӘ<Causativ<de
Nuummioqarnerli	Nuuk+MIU-QAR+NIQ<ental<Absolut+LI
Nuummioqartorli	Nuuk+MIU-QAR<Participium<han+LI
Nuummiooreerpa	Nuuk+MIU-U-RIIR<Interrogativ<han
