aallaratta	aallar<Causativ<vi
Avanersuarmeeqqulara	Avanersuaq<Lokalis+IP-QQU<Optativ<JegHam
Avanersuarmeeriarama	Avanersuaq<Lokalis+IP-RIAR<Causativ<jeg
Avanersuarmeereertulluunniit	Avanersuaq<Lokalis+IP-RIIR<Participium<de+LUUNNIIT
Avanersuarmili	Avanersuaq<Lokalis+LI
Avanersuarmiluunniit	Avanersuaq<Lokalis+LUUNNIIT
Avanersuarmiuna	Avanersuaq<Lokalis+UNA
Avanersuarmiumukalertunga	Avanersuaq+MIU<ental<Terminalis-KAR-LIR<Participium<jeg
Avanersuarmiuniilaarlutik	Avanersuaq+MIU<flertal<Lokalis+IP-LAAR<Ledsagemåde<de_selv
Avanersuarmiulereriarnerilli	Avanersuaq+MIU-LIRI-RIAR+NIQ<flertal<Absolut+LI
Avanersuarmiulerereernerpaaq	Avanersuaq+MIU-LIRI-RIIR+NIRPAAQ<ental<Absolut
Avanersuarmioqarpa	Avanersuaq+MIU-QAR<Interrogativ<han
Avanersuarmiooqisungali	Avanersuaq+MIU-U-QӘ<Participium<jeg+LI
Avanersuarmut	Avanersuaq<Terminalis
Avanersuarmukaannaratta	Avanersuaq<Terminalis-KAR-INNAR<Causativ<vi
Avanersuarmukalaartarpoq	Avanersuaq<Terminalis-KAR-LAAR=TAR<Indikativ<han
Avanersuarmukalaartarpunga	Avanersuaq<Terminalis-KAR-LAAR=TAR<Indikativ<jeg
Avanersuarmukalernerli	Avanersuaq<Terminalis-KAR-LIR+NIQ<ental<Absolut+LI
Avanersuarmukalertununa	Avanersuaq<Terminalis-KAR-LIR<Participium<de+UNA
Avanersuarmukalertoq	Avanersuaq<Terminalis-KAR-LIR+TUQ<ental<Absolut
Avanersuarmukanngillalluunniit	Avanersuaq<Terminalis-KAR-NNGIT<Indikativ<de+LUUNNIIT
Avanersuarmukaqqaaramali	Avanersuaq<Terminalis-KAR-QQAAR<Causativ<jeg+LI
Avanersuarmukariarama	Avanersuaq<Terminalis-KAR-RIAR<Causativ<jeg
Avanersuarmukareertoq	Avanersuaq<Terminalis-KAR-RIIR+TUQ<ental<Absolut
Avanersuarmukassagaluarmalli	Avanersuaq<Terminalis-KAR-SSA=GALUAR<Causativ<han+LI
Avanersuarmukassagaluarnerlu	Avanersuaq<Terminalis-KAR-SSA=GALUAR+NIQ<ental<Absolut+LU
Avanersuarmullu	Avanersuaq<Terminalis+LU
Avanersuarmununa	Avanersuaq<Terminalis+UNA
Avanersuakkut	Avanersuaq<Vialis
Avanersuakkulli	Avanersuaq<Vialis+LI
Avanersuakkullu	Avanersuaq<Vialis+LU
Avanersuakkulluunniit	Avanersuaq<Vialis+LUUNNIIT
Avanersuakkununa	Avanersuaq<Vialis+UNA
avimmata	avip<Causativ<de
avimmatali	avip<Causativ<de+LI
avikkunnaarlutilli	avip+GUNNAAR<Ledsagemåde<de_selv+LI
avinnikuuisi	avip+NIKUU<Interrogativ<I
avinnikuunini	avip+NIKUU+NIQ<ental<sin<Absolut
avinnerillu	avip+NIQ<flertal<Absolut+LU
avinnerni	avip+NIQ<flertal<Lokalis
aveqqaarpununa	avip-QQAAR<Indikativ<de+UNA
aveqaalli	avip-QӘ<Indikativ<de+LI
averiarfilererusuffittununa	avip-RIAR+FIK-LIRI+GUSUP+FIK<ental<Aequalis+UNA
averiartoqalerpungali	avip-RIAR+TUQ-QAR-LIR<Indikativ<jeg+LI
averiartortaassagaluarpunga	avip-RIAR+TUQ+TAAR-SSA=GALUAR<Indikativ<jeg
avereertulli	avip-RIIR<Participium<de+LI
avittariaqartulivimmanga	avip+TARIAQAR+TUQ-LIR_nv-VIP<Causativ<HanMig
avittarlutinguna	avip+TAR<Ledsagemåde<de_selv+UNA
avippallaarmata	avip+VALLAAR<Causativ<de
avippallaarneq	avip+VALLAAR+NIQ<ental<Absolut
eqqaamarusummangali	eqqaama+GUSUP<Causativ<HanMig+LI
eqqaamalaralu	eqqaama<Optativ<JegHam+LU
eqqaamasimasarlugit	eqqaama+SIMA=TAR<Ledsagemåde<dem
eqqaamassatigit	eqqaama-SSA<Imperativ<ViDem
eqqaamasorujorujussuutigilli	eqqaama+TUQ=RUJUK=RUJUK=SUAQ=U<Imperativ<ViDem+LI
eqqaamavallaartigilluunniit	eqqaama+VALLAAR<Imperativ<ViDem+LUUNNIIT
eqqaata	eqqaq<ental<deres<Relativ
eqqaa	eqqaq<ental<hans<Absolut
eqqaqani	eqqaq<ental<Lokalis<hans
eqqaqaniiginnarneq	eqqaq<ental<Lokalis<hans+IP-INNAR+NIQ<ental<Absolut
eqqaqaneeqqaarpoq	eqqaq<ental<Lokalis<hans+IP-QQAAR<Indikativ<han
