akisussaassuseq	akisussaassuseq<ental<Absolut
eqqumiitsussaanerpaassaagalui	eqqumiip+TUQ=SSAQ=U+NIRPAAQ-SSAQ=U=GALUAQ<flertal<deres<Absolut
eqqumiitsussaanerpaassaagaluanni	eqqumiip+TUQ=SSAQ=U+NIRPAAQ-SSAQ=U=GALUAQ<flertal<min<Lokalis
ilagivaa	ilagә<Indikativ<HanHam
ilagitippaa	ilagә+TIP<Indikativ<HanHam
ilagisussaavaa	ilagә+TUQ=SSAQ=U<Indikativ<HanHam
ilinniartitaaneq	ilinniartitaaneq<ental<Absolut
ilinniartitaanerata	ilinniartitaaneq<ental<deres<Relativ
ilinniartitaanerata	ilinniartitaaneq<ental<hans<Relativ
ilinniartitaaninni	ilinniartitaaneq<ental<min<Lokalis
ilinniartitaaneri	ilinniartitaaneq<flertal<deres<Absolut
ilinniartitaaninni	ilinniartitaaneq<flertal<min<Lokalis
ilinniartitaanilerpaa	ilinniartitaaneq-LIR_nv<Indikativ<HanHam
ilinniartitaanilertippaa	ilinniartitaaneq-LIR_nv+TIP<Indikativ<HanHam
ilinniartitaanilertussaavaa	ilinniartitaaneq-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
ilinniartitaanissaagaluaq	ilinniartitaaneq-SSAQ=U=GALUAQ<Absolut<ental
ilinniartitaanissaagaluata	ilinniartitaaneq-SSAQ=U=GALUAQ<ental<deres<Relativ
ilinniartitaanissaagaluata	ilinniartitaaneq-SSAQ=U=GALUAQ<ental<hans<Relativ
ilinniartitaanissaagaluanni	ilinniartitaaneq-SSAQ=U=GALUAQ<ental<min<Lokalis
ilinniartitaanissaagalui	ilinniartitaaneq-SSAQ=U=GALUAQ<flertal<deres<Absolut
ilinniartitaanissaagaluanni	ilinniartitaaneq-SSAQ=U=GALUAQ<flertal<min<Lokalis
inequnarfik	inequnar+FIK<ental<Absolut
inequnarfinni	inequnar+FIK<ental<min<Lokalis
inequnarfilerpaa	inequnar+FIK-LIR_nv<Indikativ<HanHam
inequnarfissaagaluaq	inequnar+FIK-SSAQ=U=GALUAQ<Absolut<ental
inequnarfissaagaluanni	inequnar+FIK-SSAQ=U=GALUAQ<flertal<min<Lokalis
inequnarpa	inequnar<Interrogativ<han
inequnarnerpaaq	inequnar+NIRPAAQ<ental<Absolut
inequnarnerpaata	inequnar+NIRPAAQ<ental<hans<Relativ
inequnarnerpaanni	inequnar+NIRPAAQ<ental<min<Lokalis
inequnarnerpaat	inequnar+NIRPAAQ<flertal<deres<Absolut
inequnarnerpaalerpaa	inequnar+NIRPAAQ-LIR_nv<Indikativ<HanHam
inequnarnerpaalertussaavaa	inequnar+NIRPAAQ-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
inequnarnerpaassaagaluanni	inequnar+NIRPAAQ-SSAQ=U=GALUAQ<ental<min<Lokalis
inequnarnerpaassaagalui	inequnar+NIRPAAQ-SSAQ=U=GALUAQ<flertal<deres<Absolut
inequnarnerpaassaagaluanni	inequnar+NIRPAAQ-SSAQ=U=GALUAQ<flertal<min<Lokalis
inequnartippaa	inequnar+TIP<Indikativ<HanHam
inequnartussaaffissaagaluanni	inequnar+TUQ=SSAQ=U+FIK-SSAQ=U=GALUAQ<ental<min<Lokalis
