aappaatigut	aappaatigut<Partikel
innaallagissiorfikumeerluinnarpoq	innaallagissiorfik-KU<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
innaallagissiorfikunik	innaallagissiorfik-KU<flertal<Instrumentalis
innaallagissiorfikuneerpoq	innaallagissiorfik-KU<flertal<Instrumentalis-IR<Indikativ<han
innaallagissiorfikuneerluinnarpoq	innaallagissiorfik-KU<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
innaallagissiorfikuminik	innaallagissiorfik-KU<flertal<sin<Instrumentalis
innaallagissiorferujuk	innaallagissiorfik-RUJUK<ental<Absolut
innaallagissiorferujuattut	innaallagissiorfik-RUJUK<ental<deres<Aequalis
innaallagissiorferujummik	innaallagissiorfik-RUJUK<ental<Instrumentalis
innaallagissiorferujummeerpoq	innaallagissiorfik-RUJUK<ental<Instrumentalis-IR<Indikativ<han
innaallagissiorferujummeerluinnarpoq	innaallagissiorfik-RUJUK<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
innaallagissiorferujummeertariaqarpoq	innaallagissiorfik-RUJUK<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
innaallagissiorferujumminik	innaallagissiorfik-RUJUK<ental<sin<Instrumentalis
innaallagissiorferujunnik	innaallagissiorfik-RUJUK<flertal<Instrumentalis
innaallagissiorferujunneerpoq	innaallagissiorfik-RUJUK<flertal<Instrumentalis-IR<Indikativ<han
innaallagissiorferujunneerluinnarpoq	innaallagissiorfik-RUJUK<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
innaallagissiorferujunneertariaqarpoq	innaallagissiorfik-RUJUK<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
innaallagissiorferujuminik	innaallagissiorfik-RUJUK<flertal<sin<Instrumentalis
innaallagissiorferujussuaq	innaallagissiorfik-RUJUK=SUAQ<ental<Absolut
innaallagissiorferujussuattut	innaallagissiorfik-RUJUK=SUAQ<ental<deres<Aequalis
innaallagissiorferujussuarmik	innaallagissiorfik-RUJUK=SUAQ<ental<Instrumentalis
innaallagissiorferujussuarmeerpoq	innaallagissiorfik-RUJUK=SUAQ<ental<Instrumentalis-IR<Indikativ<han
innaallagissiorferujussuarmeertariaqarpoq	innaallagissiorfik-RUJUK=SUAQ<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
innaallagissiorferujussuarminik	innaallagissiorfik-RUJUK=SUAQ<ental<sin<Instrumentalis
innaallagissiorferujussuarnik	innaallagissiorfik-RUJUK=SUAQ<flertal<Instrumentalis
innaallagissiorferujussuarneerluinnarpoq	innaallagissiorfik-RUJUK=SUAQ<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
innaallagissiorferujussuaminik	innaallagissiorfik-RUJUK=SUAQ<flertal<sin<Instrumentalis
isi	isә<ental<Absolut
isaattut	isә<ental<deres<Aequalis
isimik	isә<ental<Instrumentalis
isimeerluinnarpoq	isә<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
