aallartikkama	aallartip<Causativ<jeg
naloreerpaanga	nalu-RIIR<Indikativ<HanMig
naloreerpara	nalu-RIIR<Indikativ<JegHam
naluallaarmanga	nalu+VALLAAR<Causativ<HanMig
naluallaarpaanga	nalu+VALLAAR<Indikativ<HanMig
nutserisoq	nutserisoq<ental<Absolut
nutserisuma	nutserisoq<ental<min<Relativ
nutserisuni	nutserisoq<ental<sin<Absolut
nutserisoriit	nutserisoq+GIIT<flertal<Absolut
nutserisussaq	nutserisoq-SSAQ<ental<Absolut
nutserisussama	nutserisoq-SSAQ<ental<min<Relativ
nutserisussani	nutserisoq-SSAQ<ental<sin<Absolut
oqarfigimmanga	oqarfigә<Causativ<HanMig
oqarfigigakku	oqarfigә<Causativ<JegHam
oqarfigivaa	oqarfigә<Indikativ<HanHam
oqarfigivaanga	oqarfigә<Indikativ<HanMig
oqarfigivara	oqarfigә<Indikativ<JegHam
oqarfigiinnarmanga	oqarfigә-INNAR<Causativ<HanMig
oqarfigiinnarakku	oqarfigә-INNAR<Causativ<JegHam
oqarfigiinnarpaa	oqarfigә-INNAR<Indikativ<HanHam
oqarfigiinnarpaanga	oqarfigә-INNAR<Indikativ<HanMig
oqarfigiinnarpara	oqarfigә-INNAR<Indikativ<JegHam
oqarfiginikuummanga	oqarfigә+NIKUU<Causativ<HanMig
oqarfiginikuugakku	oqarfigә+NIKUU<Causativ<JegHam
oqarfiginikuuaa	oqarfigә+NIKUU<Indikativ<HanHam
oqarfiginikuuaanga	oqarfigә+NIKUU<Indikativ<HanMig
oqarfiginikuuara	oqarfigә+NIKUU<Indikativ<JegHam
oqarfigineqarama	oqarfigә+NIQAR<Causativ<jeg
oqarfigineqarpoq	oqarfigә+NIQAR<Indikativ<han
oqarfiginermanga	oqarfigә+NIR<Causativ<HanMig
oqarfiginerakku	oqarfigә+NIR<Causativ<JegHam
oqarfiginerummanga	oqarfigә+NIRU<Causativ<HanMig
oqarfiginerugakku	oqarfigә+NIRU<Causativ<JegHam
oqarfigineruaa	oqarfigә+NIRU<Indikativ<HanHam
oqarfigineruaanga	oqarfigә+NIRU<Indikativ<HanMig
oqarfigineruara	oqarfigә+NIRU<Indikativ<JegHam
oqarfigeqqaarmanga	oqarfigә-QQAAR<Causativ<HanMig
oqarfigeqqaarakku	oqarfigә-QQAAR<Causativ<JegHam
oqarfigeqqaarpaa	oqarfigә-QQAAR<Indikativ<HanHam
oqarfigeqqaarpaanga	oqarfigә-QQAAR<Indikativ<HanMig
oqarfigeqqaarpara	oqarfigә-QQAAR<Indikativ<JegHam
oqarfigeqqummanga	oqarfigә-QQU<Causativ<HanMig
oqarfigeqqugakku	oqarfigә-QQU<Causativ<JegHam
oqarfigeqquaa	oqarfigә-QQU<Indikativ<HanHam
oqarfigeqquaanga	oqarfigә-QQU<Indikativ<HanMig
oqarfigeqquara	oqarfigә-QQU<Indikativ<JegHam
oqarfigeriarmanga	oqarfigә-RIAR<Causativ<HanMig
oqarfigeriarakku	oqarfigә-RIAR<Causativ<JegHam
oqarfigereermanga	oqarfigә-RIIR<Causativ<HanMig
oqarfigereerakku	oqarfigә-RIIR<Causativ<JegHam
oqarfigereerpaa	oqarfigә-RIIR<Indikativ<HanHam
oqarfigereerpaanga	oqarfigә-RIIR<Indikativ<HanMig
oqarfigereerpara	oqarfigә-RIIR<Indikativ<JegHam
oqarfigivallaarmanga	oqarfigә+VALLAAR<Causativ<HanMig
oqarfigivallaarakku	oqarfigә+VALLAAR<Causativ<JegHam
