aappaagu	aappaagu<Partikel
Ilisimatusarfilerivoq	Ilisimatusarfik-LIRI<Indikativ<han
Ilisimatusarfilerivunga	Ilisimatusarfik-LIRI<Indikativ<jeg
Ilisimatusarfilerivugut	Ilisimatusarfik-LIRI<Indikativ<vi
Ilisimatusarfilerivit	Ilisimatusarfik-LIRI<Interrogativ<du
Ilisimatusarfilerisunga	Ilisimatusarfik-LIRI<Participium<jeg
Ilisimatusarfilerisaraluarpoq	Ilisimatusarfik-LIRI+TAR+GALUAR<Indikativ<han
Ilisimatusarfilerisaraluarpunga	Ilisimatusarfik-LIRI+TAR+GALUAR<Indikativ<jeg
Ilisimatusarfilerisaraluarpugut	Ilisimatusarfik-LIRI+TAR+GALUAR<Indikativ<vi
Ilisimatusarfilerisaraluarpit	Ilisimatusarfik-LIRI+TAR+GALUAR<Interrogativ<du
Ilisimatusarfilerisaraluartunga	Ilisimatusarfik-LIRI+TAR+GALUAR<Participium<jeg
Ilisimatusarfilerisarpoq	Ilisimatusarfik-LIRI+TAR<Indikativ<han
Ilisimatusarfilerisarpunga	Ilisimatusarfik-LIRI+TAR<Indikativ<jeg
Ilisimatusarfilerisarpugut	Ilisimatusarfik-LIRI+TAR<Indikativ<vi
Ilisimatusarfilerisarpit	Ilisimatusarfik-LIRI+TAR<Interrogativ<du
Ilisimatusarfilerisartunga	Ilisimatusarfik-LIRI+TAR<Participium<jeg
Ilisimatusarfinngoraluarpoq	Ilisimatusarfik-NNGUR+GALUAR<Indikativ<han
Ilisimatusarfinngorpoq	Ilisimatusarfik-NNGUR<Indikativ<han
Ilisimatusarfinngortaraluarpoq	Ilisimatusarfik-NNGUR+TAR+GALUAR<Indikativ<han
Ilisimatusarfinngortarpoq	Ilisimatusarfik-NNGUR+TAR<Indikativ<han
kunngi	kunngi<Ental<Absolut
kunngimut	kunngi<Ental<Terminalis
kunnginik	kunngi<Flertal<Instrumentalis
kunngini	kunngi<Flertal<Lokalis
kunngilerigaluarpunga	kunngi-LIRI+GALUAR<Indikativ<jeg
kunngilerigaluarpugut	kunngi-LIRI+GALUAR<Indikativ<vi
kunngilerigaluarpit	kunngi-LIRI+GALUAR<Interrogativ<du
kunngilerigaluartunga	kunngi-LIRI+GALUAR<Participium<jeg
kunngilerivoq	kunngi-LIRI<Indikativ<han
kunngilerivunga	kunngi-LIRI<Indikativ<jeg
kunngilerivugut	kunngi-LIRI<Indikativ<vi
kunngilerivit	kunngi-LIRI<Interrogativ<du
kunngilerisunga	kunngi-LIRI<Participium<jeg
kunngilerisaraluarpoq	kunngi-LIRI+TAR+GALUAR<Indikativ<han
kunngilerisaraluarpunga	kunngi-LIRI+TAR+GALUAR<Indikativ<jeg
kunngilerisaraluarpugut	kunngi-LIRI+TAR+GALUAR<Indikativ<vi
kunngilerisaraluarpit	kunngi-LIRI+TAR+GALUAR<Interrogativ<du
kunngilerisaraluartunga	kunngi-LIRI+TAR+GALUAR<Participium<jeg
kunngilerisarpoq	kunngi-LIRI+TAR<Indikativ<han
kunngilerisarpunga	kunngi-LIRI+TAR<Indikativ<jeg
kunngilerisarpugut	kunngi-LIRI+TAR<Indikativ<vi
kunngilerisarpit	kunngi-LIRI+TAR<Interrogativ<du
kunngilerisartunga	kunngi-LIRI+TAR<Participium<jeg
kunnginngoraluarpoq	kunngi-NNGUR+GALUAR<Indikativ<han
kunnginngoraluarpunga	kunngi-NNGUR+GALUAR<Indikativ<jeg
kunnginngoraluarpugut	kunngi-NNGUR+GALUAR<Indikativ<vi
kunnginngoraluarpit	kunngi-NNGUR+GALUAR<Interrogativ<du
kunnginngoraluartunga	kunngi-NNGUR+GALUAR<Participium<jeg
kunnginngorpoq	kunngi-NNGUR<Indikativ<han
kunnginngorpunga	kunngi-NNGUR<Indikativ<jeg
kunnginngorpugut	kunngi-NNGUR<Indikativ<vi
kunnginngorpit	kunngi-NNGUR<Interrogativ<du
kunnginngortunga	kunngi-NNGUR<Participium<jeg
kunnginngortaraluarpoq	kunngi-NNGUR+TAR+GALUAR<Indikativ<han
kunnginngortaraluarpunga	kunngi-NNGUR+TAR+GALUAR<Indikativ<jeg
kunnginngortaraluarpugut	kunngi-NNGUR+TAR+GALUAR<Indikativ<vi
kunnginngortaraluarpit	kunngi-NNGUR+TAR+GALUAR<Interrogativ<du
kunnginngortaraluartunga	kunngi-NNGUR+TAR+GALUAR<Participium<jeg
kunnginngortarpoq	kunngi-NNGUR+TAR<Indikativ<han
kunnginngortarpunga	kunngi-NNGUR+TAR<Indikativ<jeg
kunnginngortarpit	kunngi-NNGUR+TAR<Interrogativ<du
kunnginngortartunga	kunngi-NNGUR+TAR<Participium<jeg
oqaaseq	oqaaseq<Ental<Absolut
oqaatsimut	oqaaseq<Ental<Terminalis
oqaatsinik	oqaaseq<Flertal<Instrumentalis
oqaatsini	oqaaseq<Flertal<Lokalis
oqaasilerigaluarpoq	oqaaseq-LIRI+GALUAR<Indikativ<han
oqaasilerigaluarpunga	oqaaseq-LIRI+GALUAR<Indikativ<jeg
oqaasilerigaluarpugut	oqaaseq-LIRI+GALUAR<Indikativ<vi
oqaasilerigaluarpit	oqaaseq-LIRI+GALUAR<Interrogativ<du
oqaasilerigaluartunga	oqaaseq-LIRI+GALUAR<Participium<jeg
oqaasilerivoq	oqaaseq-LIRI<Indikativ<han
oqaasilerivunga	oqaaseq-LIRI<Indikativ<jeg
oqaasilerivugut	oqaaseq-LIRI<Indikativ<vi
oqaasilerivit	oqaaseq-LIRI<Interrogativ<du
oqaasilerisunga	oqaaseq-LIRI<Participium<jeg
oqaasilerisaraluarpunga	oqaaseq-LIRI+TAR+GALUAR<Indikativ<jeg
oqaasilerisaraluarpugut	oqaaseq-LIRI+TAR+GALUAR<Indikativ<vi
oqaasilerisaraluarpit	oqaaseq-LIRI+TAR+GALUAR<Interrogativ<du
oqaasilerisaraluartunga	oqaaseq-LIRI+TAR+GALUAR<Participium<jeg
oqaasilerisarpunga	oqaaseq-LIRI+TAR<Indikativ<jeg
oqaasilerisarpugut	oqaaseq-LIRI+TAR<Indikativ<vi
oqaasilerisarpit	oqaaseq-LIRI+TAR<Interrogativ<du
oqaasilerisartunga	oqaaseq-LIRI+TAR<Participium<jeg
oqaasinngoraluarpoq	oqaaseq-NNGUR+GALUAR<Indikativ<han
oqaasinngoraluarpunga	oqaaseq-NNGUR+GALUAR<Indikativ<jeg
oqaasinngoraluarpugut	oqaaseq-NNGUR+GALUAR<Indikativ<vi
oqaasinngoraluarpit	oqaaseq-NNGUR+GALUAR<Interrogativ<du
oqaasinngoraluartunga	oqaaseq-NNGUR+GALUAR<Participium<jeg
oqaasinngorpunga	oqaaseq-NNGUR<Indikativ<jeg
oqaasinngorpugut	oqaaseq-NNGUR<Indikativ<vi
oqaasinngorpit	oqaaseq-NNGUR<Interrogativ<du
oqaasinngortunga	oqaaseq-NNGUR<Participium<jeg
oqaasinngortaraluarpoq	oqaaseq-NNGUR+TAR+GALUAR<Indikativ<han
oqaasinngortaraluarpunga	oqaaseq-NNGUR+TAR+GALUAR<Indikativ<jeg
oqaasinngortaraluarpugut	oqaaseq-NNGUR+TAR+GALUAR<Indikativ<vi
oqaasinngortaraluarpit	oqaaseq-NNGUR+TAR+GALUAR<Interrogativ<du
oqaasinngortaraluartunga	oqaaseq-NNGUR+TAR+GALUAR<Participium<jeg
oqaasinngortarpoq	oqaaseq-NNGUR+TAR<Indikativ<han
oqaasinngortarpunga	oqaaseq-NNGUR+TAR<Indikativ<jeg
oqaasinngortarpugut	oqaaseq-NNGUR+TAR<Indikativ<vi
oqaasinngortarpit	oqaaseq-NNGUR+TAR<Interrogativ<du
oqaasinngortartunga	oqaaseq-NNGUR+TAR<Participium<jeg
oqaasilerisoq	oqaasilerisoq<Ental<Absolut
oqaasilerisumut	oqaasilerisoq<Ental<Terminalis
oqaasilerisunik	oqaasilerisoq<Flertal<Instrumentalis
oqaasilerisuni	oqaasilerisoq<Flertal<Lokalis
oqaasilerisulerigaluartunga	oqaasilerisoq-LIRI+GALUAR<Participium<jeg
oqaasilerisulerivoq	oqaasilerisoq-LIRI<Indikativ<han
oqaasilerisulerivunga	oqaasilerisoq-LIRI<Indikativ<jeg
oqaasilerisulerivugut	oqaasilerisoq-LIRI<Indikativ<vi
oqaasilerisulerivit	oqaasilerisoq-LIRI<Interrogativ<du
oqaasilerisulerisunga	oqaasilerisoq-LIRI<Participium<jeg
oqaasilerisulerisaraluarpit	oqaasilerisoq-LIRI+TAR+GALUAR<Interrogativ<du
oqaasilerisulerisarpugut	oqaasilerisoq-LIRI+TAR<Indikativ<vi
oqaasilerisulerisarpit	oqaasilerisoq-LIRI+TAR<Interrogativ<du
oqaasilerisulerisartunga	oqaasilerisoq-LIRI+TAR<Participium<jeg
oqaasilerisunngoraluarpit	oqaasilerisoq-NNGUR+GALUAR<Interrogativ<du
oqaasilerisunngorpugut	oqaasilerisoq-NNGUR<Indikativ<vi
oqaasilerisunngorpit	oqaasilerisoq-NNGUR<Interrogativ<du
oqaasilerisunngortunga	oqaasilerisoq-NNGUR<Participium<jeg
oqaasilerisunngortaraluarpoq	oqaasilerisoq-NNGUR+TAR+GALUAR<Indikativ<han
oqaasilerisunngortaraluartunga	oqaasilerisoq-NNGUR+TAR+GALUAR<Participium<jeg
oqaasilerisunngortarpunga	oqaasilerisoq-NNGUR+TAR<Indikativ<jeg
oqaasilerisunngortarpit	oqaasilerisoq-NNGUR+TAR<Interrogativ<du
oqaasilerisunngortartunga	oqaasilerisoq-NNGUR+TAR<Participium<jeg
piareeraluarpoq	piareer+GALUAR<Indikativ<han
piareeraluarpunga	piareer+GALUAR<Indikativ<jeg
piareeraluarpugut	piareer+GALUAR<Indikativ<vi
piareeraluarpit	piareer+GALUAR<Interrogativ<du
piareeraluartunga	piareer+GALUAR<Participium<jeg
piareerpoq	piareer<Indikativ<han
piareerpunga	piareer<Indikativ<jeg
piareerpugut	piareer<Indikativ<vi
piareerpit	piareer<Interrogativ<du
piareertunga	piareer<Participium<jeg
piareertaraluarpoq	piareer+TAR+GALUAR<Indikativ<han
piareertaraluarpunga	piareer+TAR+GALUAR<Indikativ<jeg
piareertaraluarpugut	piareer+TAR+GALUAR<Indikativ<vi
piareertaraluarpit	piareer+TAR+GALUAR<Interrogativ<du
piareertaraluartunga	piareer+TAR+GALUAR<Participium<jeg
piareertarpoq	piareer+TAR<Indikativ<han
piareertarpunga	piareer+TAR<Indikativ<jeg
piareertarpugut	piareer+TAR<Indikativ<vi
piareertarpit	piareer+TAR<Interrogativ<du
piareertartunga	piareer+TAR<Participium<jeg
SULI	SULI<Partikel
taagaluarpaat	taa+GALUAR<Indikativ<DeHam
taagaluarpaannga	taa+GALUAR<Indikativ<DeMig
taagaluarpiuk	taa+GALUAR<Interrogativ<DuHam
taavaat	taa<Indikativ<DeHam
taavaannga	taa<Indikativ<DeMig
taaviuk	taa<Interrogativ<DuHam
taasaraluarpaat	taa+TAR+GALUAR<Indikativ<DeHam
taasaraluarpaannga	taa+TAR+GALUAR<Indikativ<DeMig
taasaraluarpiuk	taa+TAR+GALUAR<Interrogativ<DuHam
taasarpaat	taa+TAR<Indikativ<DeHam
taasarpaannga	taa+TAR<Indikativ<DeMig
taasarpiuk	taa+TAR<Interrogativ<DuHam
