aleqa	aleqa<ental<Absolut
isumamiinngitsoq	isuma<ental<Lokalis+IP-NNGIT<Participium<han
isumaa	isuma<flertal<hans<Absolut
isumani	isuma<flertal<Lokalis
isumaniippoq	isuma<flertal<Lokalis+IP<Indikativ<han
isumaniillutik	isuma<flertal<Lokalis+IP<Ledsagemåde<de_selv
isumaniinnatik	isuma<flertal<Lokalis+IP-NNGIT<Ledsagemåde<de_selv
isumaniinngitsoq	isuma<flertal<Lokalis+IP-NNGIT<Participium<han
isumaniittut	isuma<flertal<Lokalis+IP<Participium<de
isumaniittoq	isuma<flertal<Lokalis+IP<Participium<han
isumagitigit	isuma+GӘ<Imperativ<ViDem
isumagivaa	isuma+GӘ<Indikativ<HanHam
isumagivakka	isuma+GӘ<Indikativ<JegDem
isumagivagut	isuma+GӘ<Indikativ<ViDem
isumaginngilakka	isuma+GӘ-NNGIT<Indikativ<JegDem
isumaginngilagut	isuma+GӘ-NNGIT<Indikativ<ViDem
isumaqarput	isumaqar<Indikativ<de
isumaqarpoq	isumaqar<Indikativ<han
isumaqarlutik	isumaqar<Ledsagemåde<de_selv
isumaqarniarpoq	isumaqar+NIAR<Indikativ<han
isumaqarnianngillat	isumaqar+NIAR=NNGIT<Indikativ<de
isumaqarnianngilaq	isumaqar+NIAR=NNGIT<Indikativ<han
isumaqarniarnatik	isumaqar+NIAR=NNGIT<Ledsagemåde<de_selv
isumaqarnianngitsut	isumaqar+NIAR=NNGIT<Participium<de
isumaqarniartut	isumaqar+NIAR<Participium<de
isumaqarniartoq	isumaqar+NIAR<Participium<han
isumaqanngillat	isumaqar-NNGIT<Indikativ<de
isumaqanngilaq	isumaqar-NNGIT<Indikativ<han
isumaqarnatik	isumaqar-NNGIT<Ledsagemåde<de_selv
isumaqanngitsut	isumaqar-NNGIT<Participium<de
isumaqanngitsoq	isumaqar-NNGIT<Participium<han
isumaqartut	isumaqar<Participium<de
isumaqartoq	isumaqar<Participium<han
isumaqarsinnaapput	isumaqar+SINNAA<Indikativ<de
isumaqarsinnaallutik	isumaqar+SINNAA<Ledsagemåde<de_selv
isumaqarsinnaasoq	isumaqar+SINNAA<Participium<han
kiisa	kiisa<Partikel
kisimi	kisimi<Adjektiv
makku	makku<Pronomen<flertal
manna	manna<Pronomen<ental
marluk	marluk<Talord<flertal<Absolut
massakkut	massakkut<Partikel
naja	naja<ental<Absolut
najaa	naja<ental<hans<Absolut
najami	naja<ental<Lokalis
najamiipput	naja<ental<Lokalis+IP<Indikativ<de
najamiippoq	naja<ental<Lokalis+IP<Indikativ<han
najamiillutik	naja<ental<Lokalis+IP<Ledsagemåde<de_selv
najamiinniarpoq	naja<ental<Lokalis+IP+NIAR<Indikativ<han
najamiinniarnatik	naja<ental<Lokalis+IP+NIAR=NNGIT<Ledsagemåde<de_selv
najamiinniartoq	naja<ental<Lokalis+IP+NIAR<Participium<han
najamiinngitsut	naja<ental<Lokalis+IP-NNGIT<Participium<de
najamiissinnaavoq	naja<ental<Lokalis+IP+SINNAA<Indikativ<han
najaa	naja<flertal<hans<Absolut
najani	naja<flertal<Lokalis
najaniipput	naja<flertal<Lokalis+IP<Indikativ<de
najaniippoq	naja<flertal<Lokalis+IP<Indikativ<han
najaniillutik	naja<flertal<Lokalis+IP<Ledsagemåde<de_selv
najaniinnianngitsut	naja<flertal<Lokalis+IP+NIAR=NNGIT<Participium<de
najaniinngilaq	naja<flertal<Lokalis+IP-NNGIT<Indikativ<han
najaniinnatik	naja<flertal<Lokalis+IP-NNGIT<Ledsagemåde<de_selv
najaniittoq	naja<flertal<Lokalis+IP<Participium<han
najaniissinnaallutik	naja<flertal<Lokalis+IP+SINNAA<Ledsagemåde<de_selv
najaniissinnaasoq	naja<flertal<Lokalis+IP+SINNAA<Participium<han
najagitigit	naja+GӘ<Imperativ<ViDem
najagivaa	naja+GӘ<Indikativ<HanHam
najagivakka	naja+GӘ<Indikativ<JegDem
najagivagut	naja+GӘ<Indikativ<ViDem
najaginngilakka	naja+GӘ-NNGIT<Indikativ<JegDem
najaginngilagut	naja+GӘ-NNGIT<Indikativ<ViDem
nalunarput	nalunar<Indikativ<de
nalunarpoq	nalunar<Indikativ<han
nalunarlutik	nalunar<Ledsagemåde<de_selv
nalunarniarput	nalunar+NIAR<Indikativ<de
nalunarniarpoq	nalunar+NIAR<Indikativ<han
nalunarniarlutik	nalunar+NIAR<Ledsagemåde<de_selv
nalunarnianngillat	nalunar+NIAR=NNGIT<Indikativ<de
nalunarnianngilaq	nalunar+NIAR=NNGIT<Indikativ<han
