aamma	aamma<Partikel
atillilli	ateq-LIK<flertal<Relativ+LI
atillillu	ateq-LIK<flertal<Relativ+LU
atilinngoraluarpit	ateq-LIK-NNGUR+GALUAR<Interrogativ<du
atilerissagaluartunga	ateq-LIRI-SSA=GALUAR<Participium<jeg
atinngortungali	ateq-NNGUR<Participium<jeg+LI
ateqarsimasartunga	ateq-QAR+SIMA=TAR<Participium<jeg
ateqassagaluarpugullu	ateq-QAR-SSA=GALUAR<Indikativ<vi+LU
ateqassagaluarpit	ateq-QAR-SSA=GALUAR<Interrogativ<du
atiugaluartunga	ateq-U+GALUAR<Participium<jeg
atiuit	ateq-U<Interrogativ<du
atiusunga	ateq-U<Participium<jeg
atiusungali	ateq-U<Participium<jeg+LI
atorpaanngali	ator<Indikativ<DeMig+LI
atorpaa	ator<Indikativ<HanHam
atulaarpaannga	ator-LAAR<Indikativ<DeMig
atulaarpassi	ator-LAAR<Indikativ<JegJer
atulaarpiuk	ator-LAAR<Interrogativ<DuHam
atulaartarpaali	ator-LAAR=TAR<Indikativ<HanHam+LI
atorsimavassilu	ator+SIMA<Indikativ<JegJer+LU
atorsimasarpiuk	ator+SIMA=TAR<Interrogativ<DuHam
atussagaluarpaannga	ator-SSA=GALUAR<Indikativ<DeMig
atussagaluarpiuk	ator-SSA=GALUAR<Interrogativ<DuHam
atussavaat	ator-SSA<Indikativ<DeHam
atussaviuk	ator-SSA<Interrogativ<DuHam
atortassagaluarpaa	ator+TAR=SSA=GALUAR<Indikativ<HanHam
Avanersuaq	Avanersuaq<Absolut
Avanersuarli	Avanersuaq<Absolut+LI
Avanersuarlu	Avanersuaq<Absolut+LU
Avanersuarmik	Avanersuaq<Instrumentalis
Avanersuarmilli	Avanersuaq<Instrumentalis+LI
Avanersuarmillu	Avanersuaq<Instrumentalis+LU
Avanersuarmi	Avanersuaq<Lokalis
Avanersuarmili	Avanersuaq<Lokalis+LI
Avanersuarmilu	Avanersuaq<Lokalis+LU
Avanersuarmiumi	Avanersuaq+MIU<ental<Lokalis
Avanersuarmiumilu	Avanersuaq+MIU<ental<Lokalis+LU
Avanersuarmiunilu	Avanersuaq+MIU<flertal<Lokalis+LU
Avanersuarmiunut	Avanersuaq+MIU<flertal<Terminalis
Avanersuarmiulerigaluartungali	Avanersuaq+MIU-LIRI+GALUAR<Participium<jeg+LI
Avanersuarmiulerisaraluarnernilli	Avanersuaq+MIU-LIRI+TAR=GALUAR+NIQ<flertal<Instrumentalis+LI
Avanersuarmiulerisassagaluartungali	Avanersuaq+MIU-LIRI+TAR=SSA=GALUAR<Participium<jeg+LI
Avanersuarmiunngornerit	Avanersuaq+MIU-NNGUR+NIQ<flertal<Relativ
Avanersuarmiunngorsimasarpit	Avanersuaq+MIU-NNGUR+SIMA=TAR<Interrogativ<du
