aallariartorpoq	aallar+GIARTUR<Indikativ<han
immiussiartortumukarpisi	immiussi+GIARTUR+TUQ<ental<Terminalis-KAR<Interrogativ<I
immiussiartortukka	immiussi+GIARTUR+TUQ<flertal<min<Absolut
immiussiartortunnguaq	immiussi+GIARTUR+TUQ-NNGUAQ<ental<Absolut
immiussiartortunnguamut	immiussi+GIARTUR+TUQ-NNGUAQ<ental<Terminalis
immiussiartortunnguakka	immiussi+GIARTUR+TUQ-NNGUAQ<flertal<min<Absolut
immiussivoq	immiussi<Indikativ<han
immiussivisi	immiussi<Interrogativ<I
immiussilerpoq	immiussi-LIR<Indikativ<han
immiussilerpisi	immiussi-LIR<Interrogativ<I
immiussilertoq	immiussi-LIR+TUQ<ental<Absolut
immiussilertumut	immiussi-LIR+TUQ<ental<Terminalis
immiussilertumukalertoq	immiussi-LIR+TUQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
immiussilertukka	immiussi-LIR+TUQ<flertal<min<Absolut
immiussilertunnguaq	immiussi-LIR+TUQ-NNGUAQ<ental<Absolut
immiussilertunnguamukalerpisi	immiussi-LIR+TUQ-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
immiussisoq	immiussi+TUQ<ental<Absolut
immiussisumut	immiussi+TUQ<ental<Terminalis
immiussisumukariartortoq	immiussi+TUQ<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
immiussisumukarpoq	immiussi+TUQ<ental<Terminalis-KAR<Indikativ<han
immiussisumukalerpoq	immiussi+TUQ<ental<Terminalis-KAR-LIR<Indikativ<han
immiussisumukalerpisi	immiussi+TUQ<ental<Terminalis-KAR-LIR<Interrogativ<I
immiussisumukalertoq	immiussi+TUQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
immiussisumukartoq	immiussi+TUQ<ental<Terminalis-KAR+TUQ<ental<Absolut
immiussisukka	immiussi+TUQ<flertal<min<Absolut
immiussisunnguaq	immiussi+TUQ-NNGUAQ<ental<Absolut
immiussisunnguamukarpoq	immiussi+TUQ-NNGUAQ<ental<Terminalis-KAR<Indikativ<han
immiussisunnguamukarpisi	immiussi+TUQ-NNGUAQ<ental<Terminalis-KAR<Interrogativ<I
immiussisunnguamukartoq	immiussi+TUQ-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
immiussisunnguakka	immiussi+TUQ-NNGUAQ<flertal<min<Absolut
inuk	inuk<ental<Absolut
inummut	inuk<ental<Terminalis
inummukariartorpoq	inuk<ental<Terminalis-KAR+GIARTUR<Indikativ<han
inummukariartorpisi	inuk<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
inummukariartortoq	inuk<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
inummukarpoq	inuk<ental<Terminalis-KAR<Indikativ<han
inummukarpisi	inuk<ental<Terminalis-KAR<Interrogativ<I
inummukalerpoq	inuk<ental<Terminalis-KAR-LIR<Indikativ<han
inummukalerpisi	inuk<ental<Terminalis-KAR-LIR<Interrogativ<I
inummukalertoq	inuk<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
inummukartoq	inuk<ental<Terminalis-KAR+TUQ<ental<Absolut
kitaa	kitә<ental<hans<Absolut
kimmut	kitә<ental<Terminalis
kimmukariartorpoq	kitә<ental<Terminalis-KAR+GIARTUR<Indikativ<han
kimmukariartorpisi	kitә<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
kimmukariartortoq	kitә<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
kimmukarpoq	kitә<ental<Terminalis-KAR<Indikativ<han
kimmukarpisi	kitә<ental<Terminalis-KAR<Interrogativ<I
kimmukalerpoq	kitә<ental<Terminalis-KAR-LIR<Indikativ<han
kimmukalerpisi	kitә<ental<Terminalis-KAR-LIR<Interrogativ<I
kimmukalertoq	kitә<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
kimmukartoq	kitә<ental<Terminalis-KAR+TUQ<ental<Absolut
kitikka	kitә<flertal<min<Absolut
kitinnguaq	kitә-NNGUAQ<ental<Absolut
kitinnguamut	kitә-NNGUAQ<ental<Terminalis
kitinnguamukariartorpisi	kitә-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
kitinnguamukariartortoq	kitә-NNGUAQ<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
kitinnguamukarpoq	kitә-NNGUAQ<ental<Terminalis-KAR<Indikativ<han
kitinnguamukarpisi	kitә-NNGUAQ<ental<Terminalis-KAR<Interrogativ<I
kitinnguamukalerpisi	kitә-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
kitinnguamukalertoq	kitә-NNGUAQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
kitinnguamukartoq	kitә-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
kitinnguakka	kitә-NNGUAQ<flertal<min<Absolut
makku	makku<Pronomen<Absolut<flertal
makkunani	makku<Pronomen<Lokalis<flertal
mittarfik	mittarfik<ental<Absolut
mittarfimmut	mittarfik<ental<Terminalis
mittarfimmukariartorpisi	mittarfik<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
mittarfimmukariartortoq	mittarfik<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
mittarfimmukarpoq	mittarfik<ental<Terminalis-KAR<Indikativ<han
