TA+una+Gram/Dem+Pron+Abs+Sg	taanna
utoqqatser+Sem/speak_emot+Gram/IV+NNGIT+V+Int+2Sg	utoqqatsinngilatit
utoqqatser+Sem/speak_emot+V+Int+2Sg+LI	utoqqatserpilli
utoqqatser+Sem/speak_emot+V+Int+2Sg+LU	utoqqatserpillu
utoqqatser+Sem/speak_emot+V+Int+2Sg	utoqqatserpit
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI	utoqqatserusussavilli
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU	utoqqatserusussavillu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg	utoqqatserusussavit
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	utoqqatserusussanngilaq
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI	utoqqatserusussanngilarli
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU	utoqqatserusussanngilarlu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg	utoqqatserusussanngilanga
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI	utoqqatserusussanngilangali
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU	utoqqatserusussanngilangalu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI	utoqqatserusussanngilatilli
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU	utoqqatserusussanngilatillu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg	utoqqatserusussanngilatit
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	utoqqatserusussaaq
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	utoqqatserusussaarli
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	utoqqatserusussaarlu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg	utoqqatserusussaanga
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI	utoqqatserusussaangali
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU	utoqqatserusussaangalu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI	utoqqatserusuppilli
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU	utoqqatserusuppillu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg	utoqqatserusuppit
