TA+una+Gram/Dem+Pron+Abs+Sg	taanna
Upernavik+Sem/Geo+Prop+MIU+N+Trm+Sg+LU	Upernavimmiumullu
Upernavik+Sem/Geo+Prop+MIU+N+Trm+Sg	Upernavimmiumut
Upernavik+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss	Upernavimmiuga
Upernavik+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss+LI	Upernavimmiugali
Upernavik+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss+LU	Upernavimmiugalu
Upernavik+Sem/Geo+Prop+MIU+N+Abs+Sg	Upernavimmiu
Upernavik+Sem/Geo+Prop+MIU+N+Abs+Sg+LI	Upernavimmiuli
Upernavik+Sem/Geo+Prop+MIU+N+Abs+Sg+LU	Upernavimmiulu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Int+2Sg+LI	Upernavimmioqarpilli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Int+2Sg+LU	Upernavimmioqarpillu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Int+2Sg	Upernavimmioqarpit
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg	Upernavimmioqarpoq
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LI	Upernavimmioqarporli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LU	Upernavimmioqarporlu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI	Upernavimmioqarusussavilli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU	Upernavimmioqarusussavillu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg	Upernavimmioqarusussavit
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	Upernavimmioqarusussanngilaq
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI	Upernavimmioqarusussanngilarli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU	Upernavimmioqarusussanngilarlu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg	Upernavimmioqarusussanngilanga
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI	Upernavimmioqarusussanngilangali
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU	Upernavimmioqarusussanngilangalu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI	Upernavimmioqarusussanngilatilli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU	Upernavimmioqarusussanngilatillu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg	Upernavimmioqarusussanngilatit
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	Upernavimmioqarusussaaq
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	Upernavimmioqarusussaarli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	Upernavimmioqarusussaarlu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg	Upernavimmioqarusussaanga
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI	Upernavimmioqarusussaangali
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU	Upernavimmioqarusussaangalu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI	Upernavimmioqarusuppilli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU	Upernavimmioqarusuppillu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg	Upernavimmioqarusuppit
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	Upernavimmioqarusuppoq
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	Upernavimmioqarusupporli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	Upernavimmioqarusupporlu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg	Upernavimmioqarusuppunga
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI	Upernavimmioqarusuppungali
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU	Upernavimmioqarusuppungalu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	Upernavimmioqarusunngilaq
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	Upernavimmioqarusunngilarli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	Upernavimmioqarusunngilarlu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg	Upernavimmioqarusunngilanga
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI	Upernavimmioqarusunngilangali
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU	Upernavimmioqarusunngilangalu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI	Upernavimmioqarusunngilatilli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU	Upernavimmioqarusunngilatillu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg	Upernavimmioqarusunngilatit
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+1Sg	Upernavimmioqarpunga
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+1Sg+LI	Upernavimmioqarpungali
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+1Sg+LU	Upernavimmioqarpungalu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg+LI	Upernavimmioqassavilli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg+LU	Upernavimmioqassavillu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg	Upernavimmioqassavit
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg	Upernavimmioqassanngilaq
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI	Upernavimmioqassanngilarli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU	Upernavimmioqassanngilarlu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg	Upernavimmioqassanngilanga
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI	Upernavimmioqassanngilangali
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU	Upernavimmioqassanngilangalu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI	Upernavimmioqassanngilatilli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU	Upernavimmioqassanngilatillu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Int+2Sg	Upernavimmioqassanngilatit
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg	Upernavimmioqassaaq
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LI	Upernavimmioqassaarli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LU	Upernavimmioqassaarlu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+1Sg	Upernavimmioqassaanga
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+1Sg+LI	Upernavimmioqassaangali
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+1Sg+LU	Upernavimmioqassaangalu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg	Upernavimmioqanngilaq
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LI	Upernavimmioqanngilarli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LU	Upernavimmioqanngilarlu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+1Sg	Upernavimmioqanngilanga
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+1Sg+LI	Upernavimmioqanngilangali
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+1Sg+LU	Upernavimmioqanngilangalu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Int+2Sg+LI	Upernavimmioqanngilatilli
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Int+2Sg+LU	Upernavimmioqanngilatillu
Upernavik+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Int+2Sg	Upernavimmioqanngilatit
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI	Upernavimmioorusussavilli
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU	Upernavimmioorusussavillu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg	Upernavimmioorusussavit
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	Upernavimmioorusussanngilaq
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI	Upernavimmioorusussanngilarli
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU	Upernavimmioorusussanngilarlu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg	Upernavimmioorusussanngilanga
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI	Upernavimmioorusussanngilangali
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU	Upernavimmioorusussanngilangalu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI	Upernavimmioorusussanngilatilli
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU	Upernavimmioorusussanngilatillu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg	Upernavimmioorusussanngilatit
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	Upernavimmioorusussaaq
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	Upernavimmioorusussaarli
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	Upernavimmioorusussaarlu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg	Upernavimmioorusussaanga
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI	Upernavimmioorusussaangali
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU	Upernavimmioorusussaangalu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI	Upernavimmioorusuppilli
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU	Upernavimmioorusuppillu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg	Upernavimmioorusuppit
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	Upernavimmioorusuppoq
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	Upernavimmioorusupporli
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	Upernavimmioorusupporlu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg	Upernavimmioorusuppunga
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI	Upernavimmioorusuppungali
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU	Upernavimmioorusuppungalu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	Upernavimmioorusunngilaq
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	Upernavimmioorusunngilarli
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	Upernavimmioorusunngilarlu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg	Upernavimmioorusunngilanga
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI	Upernavimmioorusunngilangali
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU	Upernavimmioorusunngilangalu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI	Upernavimmioorusunngilatilli
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU	Upernavimmioorusunngilatillu
Upernavik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg	Upernavimmioorusunngilatit
Upernavik+Sem/Geo+Prop+Abl+Sg	Upernavimmit
Upernavik+Sem/Geo+Prop+Lok+Sg	Upernavimmi
Upernavik+Sem/Geo+Prop+Lok+Sg+LI	Upernavimmili
Upernavik+Sem/Geo+Prop+Lok+Sg+LU	Upernavimmilu
Upernavik+Sem/Geo+Prop+Trm+Sg+LI	Upernavimmulli
Upernavik+Sem/Geo+Prop+Trm+Sg+LU	Upernavimmullu
Upernavik+Sem/Geo+Prop+Trm+Sg	Upernavimmut
Upernavik+Sem/Geo+Prop+Abs+Sg+LI	Upernavilli
Upernavik+Sem/Geo+Prop+Abs+Sg+LU	Upernavillu
Upernavik+Sem/Geo+Prop+Abs+Sg	Upernavik
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg	Tasiilarmiuuvunga
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg+LI	Tasiilarmiuuvungali
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg+LU	Tasiilarmiuuvungalu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg	Tasiilarmiuuvoq
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg+LI	Tasiilarmiuuvorli
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg+LU	Tasiilarmiuuvorlu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LI	Tasiilarmiuussavilli
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LU	Tasiilarmiuussavillu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg	Tasiilarmiuussavit
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg	Tasiilarmiuussanngilaq
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI	Tasiilarmiuussanngilarli
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU	Tasiilarmiuussanngilarlu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg	Tasiilarmiuussanngilanga
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI	Tasiilarmiuussanngilangali
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU	Tasiilarmiuussanngilangalu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI	Tasiilarmiuussanngilatilli
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU	Tasiilarmiuussanngilatillu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg	Tasiilarmiuussanngilatit
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg	Tasiilarmiuussaaq
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LI	Tasiilarmiuussaarli
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU	Tasiilarmiuussaarlu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg	Tasiilarmiuussaanga
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LI	Tasiilarmiuussaangali
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LU	Tasiilarmiuussaangalu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg+LI	Tasiilarmiuuilli
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg+LU	Tasiilarmiuuillu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg	Tasiilarmiuuit
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg	Tasiilarmiuunngilaq
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI	Tasiilarmiuunngilarli
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU	Tasiilarmiuunngilarlu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg	Tasiilarmiuunngilanga
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LI	Tasiilarmiuunngilangali
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LU	Tasiilarmiuunngilangalu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LI	Tasiilarmiuunngilatilli
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LU	Tasiilarmiuunngilatillu
Tasiilaq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg	Tasiilarmiuunngilatit
Tasiilaq+Sem/Geo+Prop+MIU+N+Ins+Sg	Tasiilarmiumik
Tasiilaq+Sem/Geo+Prop+MIU+N+Ins+Sg+LI	Tasiilarmiumilli
Tasiilaq+Sem/Geo+Prop+MIU+N+Ins+Sg+LU	Tasiilarmiumillu
Tasiilaq+Sem/Geo+Prop+MIU+N+Abl+Sg+LI	Tasiilarmiumilli
Tasiilaq+Sem/Geo+Prop+MIU+N+Abl+Sg+LU	Tasiilarmiumillu
Tasiilaq+Sem/Geo+Prop+MIU+N+Abl+Sg	Tasiilarmiumit
Tasiilaq+Sem/Geo+Prop+MIU+N+Lok+Sg	Tasiilarmiumi
Tasiilaq+Sem/Geo+Prop+MIU+N+Lok+Sg+LI	Tasiilarmiumili
Tasiilaq+Sem/Geo+Prop+MIU+N+Lok+Sg+LU	Tasiilarmiumilu
Tasiilaq+Sem/Geo+Prop+MIU+N+Trm+Sg+LI	Tasiilarmiumulli
Tasiilaq+Sem/Geo+Prop+MIU+N+Trm+Sg+LU	Tasiilarmiumullu
Tasiilaq+Sem/Geo+Prop+MIU+N+Trm+Sg	Tasiilarmiumut
Tasiilaq+Sem/Geo+Prop+MIU+N+Abs+Sg	Tasiilarmiu
Tasiilaq+Sem/Geo+Prop+MIU+N+Abs+Sg+LI	Tasiilarmiuli
Tasiilaq+Sem/Geo+Prop+MIU+N+Abs+Sg+LU	Tasiilarmiulu
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg	Tasiilarmioqarpoq
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LI	Tasiilarmioqarporli
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LU	Tasiilarmioqarporlu
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	Tasiilarmioqarusussanngilaq
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI	Tasiilarmioqarusussanngilarli
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU	Tasiilarmioqarusussanngilarlu
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	Tasiilarmioqarusussaaq
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	Tasiilarmioqarusussaarli
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	Tasiilarmioqarusussaarlu
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	Tasiilarmioqarusuppoq
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	Tasiilarmioqarusupporli
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	Tasiilarmioqarusupporlu
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	Tasiilarmioqarusunngilaq
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	Tasiilarmioqarusunngilarli
Tasiilaq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	Tasiilarmioqarusunngilarlu
