Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+NNGIT+V+Ind+3Sg	Aasiammiuussanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+NNGIT+V+Int+2Sg	Aasiammiuussanngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+V+Ind+1Pl	Aasiammiuussaagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+V+Ind+1Sg	Aasiammiuussaanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+V+Ind+3Sg	Aasiammiuussaaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+SSA+V+Int+2Sg	Aasiammiuussavit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+GALUAR+V+Ind+1Pl	Aasiammiuusaraluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+GALUAR+V+Ind+1Sg	Aasiammiuusaraluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+GALUAR+V+Ind+3Sg	Aasiammiuusaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+GALUAR+V+Int+2Sg	Aasiammiuusaraluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiuusanngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiuusanngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+NNGIT+GALUAR+V+Ind+3Sg	Aasiammiuusanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+NNGIT+GALUAR+V+Int+2Sg	Aasiammiuusanngikkaluarpit
