taanna	TA+una+Gram/Dem+Pron+Abs+Sg
Sisimiunilli	Sisimiut+Sem/Geo+Prop+Abl+Pl+LI
Sisimiunillu	Sisimiut+Sem/Geo+Prop+Abl+Pl+LU
Sisimiunit	Sisimiut+Sem/Geo+Prop+Abl+Pl
Sisimiuni	Sisimiut+Sem/Geo+Prop+Lok+Pl
Sisimiunili	Sisimiut+Sem/Geo+Prop+Lok+Pl+LI
Sisimiunilu	Sisimiut+Sem/Geo+Prop+Lok+Pl+LU
Sisimiunulli	Sisimiut+Sem/Geo+Prop+Trm+Pl+LI
Sisimiunullu	Sisimiut+Sem/Geo+Prop+Trm+Pl+LU
Sisimiunut	Sisimiut+Sem/Geo+Prop+Trm+Pl
Sisimiut	Sisimiut+Sem/Geo+Prop+Abs+Pl
Sisimiormiuuvunga	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg
Sisimiormiuuvungali	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg+LI
Sisimiormiuuvungalu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg+LU
Sisimiormiuuvoq	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg
Sisimiormiuuvorli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg+LI
Sisimiormiuuvorlu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg+LU
Sisimiormiuussavilli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LI
Sisimiormiuussavillu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LU
Sisimiormiuussavit	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg
Sisimiormiuussanngilaq	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg
Sisimiormiuussanngilarli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
Sisimiormiuussanngilarlu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
Sisimiormiuussanngilanga	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg
Sisimiormiuussanngilangali	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI
Sisimiormiuussanngilangalu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU
Sisimiormiuussanngilatilli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI
Sisimiormiuussanngilatillu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU
Sisimiormiuussanngilatit	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg
Sisimiormiuussaaq	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg
Sisimiormiuussaarli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LI
Sisimiormiuussaarlu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU
Sisimiormiuussaanga	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg
Sisimiormiuussaangali	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LI
Sisimiormiuussaangalu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LU
Sisimiormiuuilli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg+LI
Sisimiormiuuillu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg+LU
Sisimiormiuuit	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg
Sisimiormiuunngilaq	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg
Sisimiormiuunngilarli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI
Sisimiormiuunngilarlu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU
Sisimiormiuunngilanga	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg
Sisimiormiuunngilangali	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LI
Sisimiormiuunngilangalu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LU
Sisimiormiuunngilatilli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LI
Sisimiormiuunngilatillu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LU
Sisimiormiuunngilatit	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg
Sisimiormiumik	Sisimiut+Sem/Geo+Prop+MIU+N+Ins+Sg
Sisimiormiumilli	Sisimiut+Sem/Geo+Prop+MIU+N+Ins+Sg+LI
Sisimiormiumillu	Sisimiut+Sem/Geo+Prop+MIU+N+Ins+Sg+LU
Sisimiormiumilli	Sisimiut+Sem/Geo+Prop+MIU+N+Abl+Sg+LI
Sisimiormiumillu	Sisimiut+Sem/Geo+Prop+MIU+N+Abl+Sg+LU
Sisimiormiumit	Sisimiut+Sem/Geo+Prop+MIU+N+Abl+Sg
Sisimiormiumi	Sisimiut+Sem/Geo+Prop+MIU+N+Lok+Sg
Sisimiormiumili	Sisimiut+Sem/Geo+Prop+MIU+N+Lok+Sg+LI
Sisimiormiumilu	Sisimiut+Sem/Geo+Prop+MIU+N+Lok+Sg+LU
Sisimiormiumulli	Sisimiut+Sem/Geo+Prop+MIU+N+Trm+Sg+LI
Sisimiormiumullu	Sisimiut+Sem/Geo+Prop+MIU+N+Trm+Sg+LU
Sisimiormiumut	Sisimiut+Sem/Geo+Prop+MIU+N+Trm+Sg
Sisimiormiuga	Sisimiut+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss
Sisimiormiugali	Sisimiut+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss+LI
Sisimiormiugalu	Sisimiut+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss+LU
Sisimiormiu	Sisimiut+Sem/Geo+Prop+MIU+N+Abs+Sg
Sisimiormiuli	Sisimiut+Sem/Geo+Prop+MIU+N+Abs+Sg+LI
Sisimiormiulu	Sisimiut+Sem/Geo+Prop+MIU+N+Abs+Sg+LU
Sisimiormioqarpoq	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg
Sisimiormioqarporli	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LI
Sisimiormioqarporlu	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LU
Sisimiormioqarusussanngilaq	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
Sisimiormioqarusussanngilarli	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
Sisimiormioqarusussanngilarlu	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
Sisimiormioqarusussaaq	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
Sisimiormioqarusussaarli	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
Sisimiormioqarusussaarlu	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
Sisimiormioqarusuppoq	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
Sisimiormioqarusupporli	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
Sisimiormioqarusupporlu	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
Sisimiormioqarusunngilaq	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
Sisimiormioqarusunngilarli	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
Sisimiormioqarusunngilarlu	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
Sisimiormioqassanngilaq	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg
Sisimiormioqassanngilarli	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
Sisimiormioqassanngilarlu	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
Sisimiormioqassaaq	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg
Sisimiormioqassaarli	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LI
Sisimiormioqassaarlu	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LU
Sisimiormioqanngilaq	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg
Sisimiormioqanngilarli	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LI
Sisimiormioqanngilarlu	Sisimiut+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LU
Sisimiormioorusussavilli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI
Sisimiormioorusussavillu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU
Sisimiormioorusussavit	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg
Sisimiormioorusussanngilaq	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
Sisimiormioorusussanngilarli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
Sisimiormioorusussanngilarlu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
Sisimiormioorusussanngilanga	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg
Sisimiormioorusussanngilangali	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI
Sisimiormioorusussanngilangalu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU
Sisimiormioorusussanngilatilli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI
Sisimiormioorusussanngilatillu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU
Sisimiormioorusussanngilatit	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg
Sisimiormioorusussaaq	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
Sisimiormioorusussaarli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
Sisimiormioorusussaarlu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
Sisimiormioorusussaanga	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg
Sisimiormioorusussaangali	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI
Sisimiormioorusussaangalu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU
Sisimiormioorusuppilli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI
Sisimiormioorusuppillu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU
Sisimiormioorusuppit	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg
Sisimiormioorusuppoq	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
Sisimiormioorusupporli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
Sisimiormioorusupporlu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
Sisimiormioorusuppunga	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg
Sisimiormioorusuppungali	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI
Sisimiormioorusuppungalu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU
Sisimiormioorusunngilaq	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
Sisimiormioorusunngilarli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
Sisimiormioorusunngilarlu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
Sisimiormioorusunngilanga	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg
Sisimiormioorusunngilangali	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI
Sisimiormioorusunngilangalu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU
Sisimiormioorusunngilatilli	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI
Sisimiormioorusunngilatillu	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU
Sisimiormioorusunngilatit	Sisimiut+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg
Royal Greenlandimik	Royal Greenland+Sem/inst+Sem/Hum+Prop+Lok+Ins
Royal Greenlandimilli	Royal Greenland+Sem/inst+Sem/Hum+Prop+Lok+Ins+LI
Royal Greenlandimillu	Royal Greenland+Sem/inst+Sem/Hum+Prop+Lok+Ins+LU
Royal Greenlandimilli	Royal Greenland+Sem/inst+Sem/Hum+Prop+Abl+Sg+LI
Royal Greenlandimillu	Royal Greenland+Sem/inst+Sem/Hum+Prop+Abl+Sg+LU
Royal Greenlandimit	Royal Greenland+Sem/inst+Sem/Hum+Prop+Abl+Sg
Royal Greenlandimi	Royal Greenland+Sem/inst+Sem/Hum+Prop+Lok+Sg
Royal Greenlandimili	Royal Greenland+Sem/inst+Sem/Hum+Prop+Lok+Sg+LI
Royal Greenlandimilu	Royal Greenland+Sem/inst+Sem/Hum+Prop+Lok+Sg+LU
Royal Greenlandimulli	Royal Greenland+Sem/inst+Sem/Hum+Prop+Trm+Sg+LI
Royal Greenlandimullu	Royal Greenland+Sem/inst+Sem/Hum+Prop+Trm+Sg+LU
Royal Greenlandimut	Royal Greenland+Sem/inst+Sem/Hum+Prop+Trm+Sg
Royal Greenlandiuvoq	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+V+Ind+3Sg
Royal Greenlandiuvorli	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+V+Ind+3Sg+LI
Royal Greenlandiuvorlu	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+V+Ind+3Sg+LU
Royal Greenlandiussanngilaq	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg
Royal Greenlandiussanngilarli	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
Royal Greenlandiussanngilarlu	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
Royal Greenlandiussaaq	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg
Royal Greenlandiussaarli	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LI
Royal Greenlandiussaarlu	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU
Royal Greenlandiunngilaq	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg
Royal Greenlandiunngilarli	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI
Royal Greenlandiunngilarlu	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU
Royal Greenlandiorusussanngilaq	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
Royal Greenlandiorusussanngilarli	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
Royal Greenlandiorusussanngilarlu	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
Royal Greenlandiorusussaaq	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
Royal Greenlandiorusussaarli	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
Royal Greenlandiorusussaarlu	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
Royal Greenlandiorusuppoq	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
Royal Greenlandiorusupporli	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
Royal Greenlandiorusupporlu	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
Royal Greenlandiorusunngilaq	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
Royal Greenlandiorusunngilarli	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
Royal Greenlandiorusunngilarlu	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
Royal Greenlandiorusunngilanga	Royal Greenland+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg
Royal Greenlandi	Royal Greenland+Sem/inst+Sem/Hum+Prop+Abs+Sg+Orth/Alt
Royal Greenlandili	Royal Greenland+Sem/inst+Sem/Hum+Prop+Abs+Sg+LI
Royal Greenlandilu	Royal Greenland+Sem/inst+Sem/Hum+Prop+Abs+Sg+LU
Royal Greenland	Royal Greenland+Sem/inst+Sem/Hum+Prop+Abs+Sg
Rosingimik	Rosing+Sem/Hum+Prop+Lok+Ins
Rosingimilli	Rosing+Sem/Hum+Prop+Lok+Ins+LI
Rosingimillu	Rosing+Sem/Hum+Prop+Lok+Ins+LU
Rosingimilli	Rosing+Sem/Hum+Prop+Abl+Sg+LI
Rosingimillu	Rosing+Sem/Hum+Prop+Abl+Sg+LU
Rosingimit	Rosing+Sem/Hum+Prop+Abl+Sg
Rosingimi	Rosing+Sem/Hum+Prop+Lok+Sg
Rosingimili	Rosing+Sem/Hum+Prop+Lok+Sg+LI
Rosingimilu	Rosing+Sem/Hum+Prop+Lok+Sg+LU
Rosingimulli	Rosing+Sem/Hum+Prop+Trm+Sg+LI
Rosingimullu	Rosing+Sem/Hum+Prop+Trm+Sg+LU
Rosingimut	Rosing+Sem/Hum+Prop+Trm+Sg
Rosingiuvunga	Rosing+Sem/Hum+Prop+U+Sem/be_copula+V+Ind+1Sg
Rosingiuvungali	Rosing+Sem/Hum+Prop+U+Sem/be_copula+V+Ind+1Sg+LI
Rosingiuvungalu	Rosing+Sem/Hum+Prop+U+Sem/be_copula+V+Ind+1Sg+LU
Rosingiuvoq	Rosing+Sem/Hum+Prop+U+Sem/be_copula+V+Ind+3Sg
Rosingiuvorli	Rosing+Sem/Hum+Prop+U+Sem/be_copula+V+Ind+3Sg+LI
Rosingiuvorlu	Rosing+Sem/Hum+Prop+U+Sem/be_copula+V+Ind+3Sg+LU
Rosingiussavilli	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LI
Rosingiussavillu	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LU
Rosingiussavit	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg
Rosingiussanngilaq	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg
Rosingiussanngilarli	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
Rosingiussanngilarlu	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
Rosingiussanngilanga	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg
Rosingiussanngilangali	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI
Rosingiussanngilangalu	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU
Rosingiussanngilatilli	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI
Rosingiussanngilatillu	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU
Rosingiussanngilatit	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg
Rosingiussaaq	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg
Rosingiussaarli	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LI
Rosingiussaarlu	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU
Rosingiussaanga	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg
Rosingiussaangali	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LI
Rosingiussaangalu	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LU
Rosingiuilli	Rosing+Sem/Hum+Prop+U+Sem/be_copula+V+Int+2Sg+LI
Rosingiuillu	Rosing+Sem/Hum+Prop+U+Sem/be_copula+V+Int+2Sg+LU
Rosingiuit	Rosing+Sem/Hum+Prop+U+Sem/be_copula+V+Int+2Sg
Rosingiunngilaq	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg
Rosingiunngilarli	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI
Rosingiunngilarlu	Rosing+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU
