taanna	TA+una+Gram/Dem+Pron+Abs+Sg
utoqqatserusunngilaq	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
utoqqatserusunngilarli	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
utoqqatserusunngilarlu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
utoqqatserusunngilanga	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg
utoqqatserusunngilangali	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI
utoqqatserusunngilangalu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU
utoqqatserusunngilatilli	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI
utoqqatserusunngilatillu	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU
utoqqatserusunngilatit	utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg
utoqqatserpunga	utoqqatser+Sem/speak_emot+V+Ind+1Sg
utoqqatserpungali	utoqqatser+Sem/speak_emot+V+Ind+1Sg+LI
utoqqatserpungalu	utoqqatser+Sem/speak_emot+V+Ind+1Sg+LU
utoqqatserpoq	utoqqatser+Sem/speak_emot+V+Ind+3Sg
utoqqatserporli	utoqqatser+Sem/speak_emot+V+Ind+3Sg+LI
utoqqatserporlu	utoqqatser+Sem/speak_emot+V+Ind+3Sg+LU
uanga	uanga+Gram/Pers+Pron+Abs+1Sg
uangali	uanga+Gram/Pers+Pron+Abs+1Sg+LI
uangalu	uanga+Gram/Pers+Pron+Abs+1Sg+LU
uannilli	uanga+Gram/Pers+Pron+Abl+1Sg+LI
uannillu	uanga+Gram/Pers+Pron+Abl+1Sg+LU
uannit	uanga+Gram/Pers+Pron+Abl+1Sg
uanni	uanga+Gram/Pers+Pron+Lok+1Sg
uannili	uanga+Gram/Pers+Pron+Lok+1Sg+LI
uannilu	uanga+Gram/Pers+Pron+Lok+1Sg+LU
uannulli	uanga+Gram/Pers+Pron+Trm+1Sg+LI
uannullu	uanga+Gram/Pers+Pron+Trm+1Sg+LU
uannut	uanga+Gram/Pers+Pron+Trm+1Sg
teeqarpilli	tii+Sem/drink+QAR+Sem/have+V+Int+2Sg+LI
teeqarpillu	tii+Sem/drink+QAR+Sem/have+V+Int+2Sg+LU
teeqarpit	tii+Sem/drink+QAR+Sem/have+V+Int+2Sg
teeqarpoq	tii+Sem/drink+QAR+Sem/have+V+Ind+3Sg
teeqarporli	tii+Sem/drink+QAR+Sem/have+V+Ind+3Sg+LI
teeqarporlu	tii+Sem/drink+QAR+Sem/have+V+Ind+3Sg+LU
teeqarusussavilli	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI
teeqarusussavillu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU
teeqarusussavit	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg
teeqarusussanngilaq	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
teeqarusussanngilarli	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
teeqarusussanngilarlu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
teeqarusussanngilanga	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg
teeqarusussanngilangali	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI
teeqarusussanngilangalu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU
teeqarusussanngilatilli	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI
teeqarusussanngilatillu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU
teeqarusussanngilatit	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg
teeqarusussaaq	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
teeqarusussaarli	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
teeqarusussaarlu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
teeqarusussaanga	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg
teeqarusussaangali	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI
teeqarusussaangalu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU
teeqarusuppilli	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI
teeqarusuppillu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU
teeqarusuppit	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg
teeqarusuppoq	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
teeqarusupporli	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
teeqarusupporlu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
teeqarusuppunga	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg
